ID,Category,Subcategory,Size,Color,Material,Brand,Price Range,Rating,In Stock,Shipping Weight,Age Group
27,Clothing,Shoes,Small,Yellow,Metal,Delta,Luxury,2,true,16.61,Adults
28,Clothing,Pants,Small,Blue,Cotton,Alpha,Mid-range,3,true,6.92,Children
29,Electronics,Tablets,Large,White,Leather,Gamma,Mid-range,5,true,13.95,Children
30,Clothing,Shoes,Large,White,Wood,Delta,Luxury,4,true,19.22,Children
31,Food,Frozen,Medium,Yellow,Wood,Gamma,Budget,4,true,6.53,Teens
32,Food,Fresh,Medium,White,Plastic,Delta,Luxury,3,false,6.46,Children
33,Clothing,Pants,Medium,Blue,Plastic,Delta,Mid-range,3,true,2.40,Seniors
34,Electronics,Phones,Medium,Blue,Metal,Epsilon,Mid-range,4,true,2.74,Teens
35,Electronics,Accessories,Medium,Purple,Wood,Gamma,Premium,5,true,7.82,Seniors
36,Clothing,Shirts,Small,White,Metal,Alpha,Budget,2,true,18.58,Seniors
37,Home,Kitchen,Medium,Yellow,Glass,Alpha,Budget,2,false,13.95,Children
38,Home,Bath,Medium,Blue,Glass,Delta,Budget,5,true,13.49,Children
39,Clothing,Shoes,Small,Black,Plastic,Gamma,Mid-range,5,true,17.73,Teens
40,Sports,Accessories,Medium,Black,Glass,Alpha,Premium,2,false,8.55,Adults
41,Electronics,Accessories,Large,White,Leather,Gamma,Luxury,4,true,16.05,Teens
42,Sports,Apparel,Medium,Black,Plastic,Alpha,Budget,5,true,10.21,Children
43,Home,Kitchen,Large,White,Cotton,Beta,Luxury,5,false,11.06,Seniors
44,Sports,Equipment,Small,Red,Metal,Delta,Budget,1,true,14.27,Adults
45,Electronics,Phones,Medium,Black,Wood,Gamma,Mid-range,5,true,7.97,Children
46,Food,Beverages,Medium,Purple,Wood,Gamma,Budget,4,true,19.67,Teens
47,Electronics,Accessories,Medium,Green,Cotton,Delta,Luxury,4,true,10.98,Adults
48,Sports,Equipment,Medium,Black,Metal,Gamma,Premium,1,true,4.17,Teens
49,Electronics,Accessories,Large,Purple,Wood,Beta,Budget,3,false,4.02,Seniors
50,Clothing,Shoes,Large,Red,Wood,Alpha,Mid-range,2,true,17.69,Teens
51,Electronics,Tablets,Medium,Purple,Leather,Delta,Mid-range,1,true,4.87,Teens
52,Clothing,Dresses,Small,Blue,Glass,Alpha,Mid-range,2,true,12.41,Teens
53,Electronics,Phones,Medium,Green,Glass,Delta,Luxury,4,false,4.29,Seniors
54,Clothing,Shoes,Large,Purple,Metal,Delta,Luxury,5,false,16.53,Children
55,Sports,Equipment,Small,Blue,Cotton,Gamma,Mid-range,1,true,16.85,Seniors
56,Home,Furniture,Small,Black,Glass,Epsilon,Premium,4,true,12.71,Teens
57,Sports,Equipment,Small,Black,Plastic,Alpha,Premium,3,false,15.23,Adults
58,Food,Beverages,Large,Red,Glass,Beta,Budget,3,false,11.75,Children
59,Clothing,Shirts,Large,White,Leather,Beta,Mid-range,3,true,7.08,Adults
60,Home,Bath,Medium,Black,Leather,Beta,Premium,3,false,10.34,Children
61,Electronics,Laptops,Medium,Black,Metal,Beta,Budget,4,true,16.52,Teens
62,Electronics,Phones,Small,Purple,Plastic,Epsilon,Premium,4,true,0.86,Adults
63,Clothing,Shoes,Small,Purple,Cotton,Alpha,Mid-range,2,false,15.53,Teens
64,Clothing,Dresses,Large,Red,Wood,Beta,Premium,5,true,8.82,Seniors
65,Food,Snacks,Large,Red,Plastic,Delta,Budget,5,false,18.60,Teens
66,Clothing,Pants,Small,Green,Wood,Epsilon,Mid-range,4,true,14.27,Adults
67,Home,Furniture,Large,Black,Wood,Gamma,Luxury,4,false,10.32,Adults
68,Food,Beverages,Medium,Red,Metal,Delta,Premium,3,true,14.91,Teens
69,Home,Kitchen,Small,Purple,Metal,Alpha,Premium,3,false,3.80,Adults
70,Electronics,Laptops,Small,Yellow,Wood,Delta,Budget,2,false,2.71,Adults
71,Clothing,Pants,Medium,Yellow,Plastic,Beta,Mid-range,3,true,3.96,Adults
72,Food,Frozen,Large,Yellow,Leather,Epsilon,Mid-range,1,true,7.15,Seniors
73,Sports,Equipment,Small,White,Cotton,Delta,Premium,1,true,12.78,Children
74,Food,Beverages,Medium,White,Leather,Alpha,Luxury,4,true,12.55,Teens
75,Sports,Apparel,Large,Purple,Leather,Delta,Luxury,2,false,8.18,Teens
76,Food,Beverages,Medium,Yellow,Leather,Alpha,Premium,1,true,15.85,Adults
77,Electronics,Accessories,Small,Yellow,Plastic,Gamma,Luxury,2,true,15.19,Adults
78,Clothing,Shirts,Small,Yellow,Glass,Alpha,Mid-range,5,true,14.36,Adults
79,Food,Frozen,Small,Yellow,Metal,Delta,Mid-range,1,true,6.16,Children
80,Clothing,Dresses,Small,Purple,Leather,Gamma,Luxury,5,true,9.79,Teens
81,Sports,Nutrition,Medium,Blue,Glass,Delta,Luxury,1,true,12.35,Children
82,Sports,Equipment,Small,Blue,Plastic,Gamma,Luxury,3,false,11.13,Children
83,Sports,Equipment,Large,Black,Leather,Epsilon,Mid-range,2,false,15.68,Seniors
84,Sports,Apparel,Medium,Yellow,Metal,Beta,Mid-range,4,false,8.53,Adults
85,Sports,Equipment,Medium,Green,Metal,Gamma,Luxury,5,true,5.08,Children
86,Home,Decor,Medium,White,Metal,Epsilon,Mid-range,2,false,2.70,Seniors
87,Clothing,Pants,Small,Black,Glass,Delta,Premium,2,true,4.01,Adults
88,Electronics,Laptops,Medium,Red,Glass,Delta,Mid-range,1,true,2.53,Children
89,Home,Decor,Large,Blue,Glass,Beta,Luxury,3,true,19.67,Children
90,Electronics,Tablets,Small,Red,Metal,Alpha,Luxury,3,false,8.66,Adults
91,Electronics,Laptops,Large,Red,Cotton,Delta,Mid-range,2,true,13.66,Seniors
92,Clothing,Dresses,Medium,Red,Metal,Beta,Budget,1,false,8.94,Adults
93,Electronics,Tablets,Small,Black,Plastic,Alpha,Budget,3,false,13.95,Teens
94,Clothing,Pants,Medium,Blue,Leather,Delta,Premium,1,true,10.75,Seniors
95,Electronics,Accessories,Large,Red,Cotton,Gamma,Luxury,3,true,3.45,Adults
96,Electronics,Accessories,Small,Red,Wood,Delta,Mid-range,4,true,3.66,Teens
97,Sports,Apparel,Medium,Blue,Glass,Alpha,Luxury,2,true,14.04,Children
98,Clothing,Shoes,Large,Red,Leather,Epsilon,Premium,2,true,11.19,Children
99,Clothing,Pants,Medium,Black,Metal,Epsilon,Budget,2,true,0.31,Teens
100,Clothing,Shirts,Large,Black,Leather,Delta,Premium,3,true,12.44,Teens
101,Food,Snacks,Large,Red,Plastic,Epsilon,Premium,4,true,15.05,Adults
102,Electronics,Phones,Small,White,Metal,Beta,Budget,1,true,7.30,Teens
103,Sports,Nutrition,Small,Black,Metal,Delta,Budget,1,false,0.60,Children
104,Electronics,Tablets,Medium,Blue,Wood,Gamma,Mid-range,1,true,9.01,Adults
105,Electronics,Phones,Medium,Black,Leather,Epsilon,Premium,5,false,11.37,Teens
106,Food,Snacks,Medium,Black,Glass,Delta,Budget,1,true,7.93,Children
107,Home,Kitchen,Large,Blue,Glass,Alpha,Mid-range,3,false,19.12,Teens
108,Clothing,Dresses,Large,Blue,Cotton,Delta,Premium,5,false,3.17,Adults
109,Clothing,Dresses,Large,Purple,Wood,Alpha,Budget,4,true,15.16,Adults
110,Sports,Equipment,Medium,Red,Cotton,Delta,Premium,4,true,15.71,Teens
111,Electronics,Phones,Medium,White,Glass,Epsilon,Premium,5,true,7.74,Seniors
112,Home,Kitchen,Large,Blue,Cotton,Beta,Premium,4,true,18.41,Seniors
113,Sports,Nutrition,Medium,Purple,Metal,Epsilon,Budget,3,true,5.39,Children
114,Electronics,Accessories,Large,White,Glass,Beta,Budget,1,false,6.80,Teens
115,Clothing,Shirts,Large,Black,Cotton,Alpha,Premium,5,false,3.88,Children
116,Sports,Equipment,Small,Blue,Metal,Delta,Luxury,4,false,5.95,Adults
117,Home,Decor,Large,Purple,Leather,Alpha,Luxury,4,true,19.07,Teens
118,Home,Kitchen,Large,Red,Glass,Epsilon,Mid-range,5,true,10.14,Children
119,Home,Decor,Medium,Green,Plastic,Beta,Budget,3,true,3.47,Teens
120,Sports,Accessories,Large,Yellow,Cotton,Delta,Luxury,2,false,13.43,Adults
121,Clothing,Dresses,Small,Red,Plastic,Beta,Luxury,2,true,11.60,Teens
122,Sports,Apparel,Large,Green,Cotton,Beta,Premium,3,false,2.49,Seniors
123,Food,Fresh,Small,Purple,Metal,Delta,Mid-range,2,false,10.02,Teens
124,Food,Beverages,Medium,Green,Glass,Alpha,Budget,5,false,13.69,Adults
125,Sports,Equipment,Medium,Blue,Metal,Delta,Mid-range,3,true,18.84,Teens
126,Sports,Apparel,Small,Blue,Leather,Gamma,Budget,5,false,8.63,Teens
127,Sports,Apparel,Medium,Yellow,Wood,Delta,Premium,2,true,6.04,Teens
128,Food,Snacks,Large,Red,Metal,Beta,Mid-range,2,false,17.96,Adults
129,Electronics,Tablets,Small,Black,Wood,Epsilon,Mid-range,2,false,14.02,Children
130,Home,Bath,Large,Blue,Cotton,Gamma,Mid-range,5,false,7.75,Teens
131,Home,Furniture,Small,Blue,Cotton,Alpha,Premium,2,true,15.17,Children
132,Home,Kitchen,Large,Green,Metal,Delta,Premium,4,true,3.43,Children
133,Clothing,Pants,Large,Blue,Wood,Gamma,Premium,2,true,6.98,Seniors
134,Sports,Accessories,Small,Yellow,Glass,Delta,Luxury,3,true,11.50,Children
135,Home,Kitchen,Medium,White,Plastic,Delta,Mid-range,2,false,1.59,Children
136,Home,Furniture,Large,Yellow,Wood,Gamma,Mid-range,3,true,3.75,Children
137,Home,Furniture,Small,Blue,Cotton,Alpha,Budget,3,true,12.44,Children
138,Food,Frozen,Medium,Yellow,Glass,Epsilon,Budget,2,false,19.07,Teens
139,Clothing,Shoes,Large,White,Metal,Gamma,Mid-range,1,true,12.76,Seniors
140,Sports,Apparel,Large,Yellow,Wood,Epsilon,Mid-range,2,true,6.69,Teens
141,Home,Furniture,Medium,Yellow,Cotton,Beta,Premium,5,true,18.63,Seniors
142,Food,Snacks,Medium,Black,Cotton,Delta,Budget,2,true,19.31,Adults
143,Clothing,Pants,Large,Purple,Leather,Epsilon,Premium,5,true,18.06,Children
144,Sports,Nutrition,Small,Green,Metal,Epsilon,Budget,4,true,7.18,Adults
145,Clothing,Shirts,Large,Purple,Cotton,Epsilon,Mid-range,3,true,12.00,Teens
146,Food,Snacks,Large,Red,Wood,Delta,Premium,4,false,17.57,Adults
147,Home,Furniture,Small,Black,Glass,Gamma,Budget,2,true,17.41,Adults
148,Home,Furniture,Large,Black,Wood,Gamma,Premium,3,true,15.63,Teens
149,Food,Beverages,Large,Green,Glass,Gamma,Premium,5,true,3.07,Children
150,Sports,Apparel,Small,Green,Wood,Beta,Luxury,3,false,19.42,Children
151,Sports,Accessories,Medium,White,Plastic,Gamma,Premium,1,true,9.31,Adults
152,Electronics,Accessories,Large,White,Wood,Alpha,Mid-range,3,true,9.72,Children
153,Electronics,Accessories,Small,White,Glass,Alpha,Premium,4,true,4.68,Children
154,Clothing,Dresses,Large,Purple,Wood,Epsilon,Mid-range,3,true,13.75,Seniors
155,Food,Snacks,Medium,Yellow,Plastic,Beta,Budget,4,true,10.10,Teens
156,Clothing,Pants,Small,Blue,Plastic,Epsilon,Luxury,1,true,1.21,Teens
157,Clothing,Shirts,Large,Green,Cotton,Delta,Budget,5,true,19.11,Adults
158,Clothing,Dresses,Large,Purple,Leather,Delta,Luxury,1,true,15.09,Adults
159,Clothing,Shirts,Small,Purple,Glass,Epsilon,Premium,5,true,10.26,Seniors
160,Clothing,Shirts,Medium,Purple,Metal,Alpha,Luxury,4,true,12.63,Teens
161,Clothing,Shoes,Small,Green,Metal,Alpha,Premium,2,false,7.57,Children
162,Home,Kitchen,Medium,Red,Plastic,Epsilon,Budget,2,true,5.46,Children
163,Food,Beverages,Large,White,Leather,Alpha,Mid-range,1,true,19.18,Teens
164,Electronics,Laptops,Large,Black,Leather,Epsilon,Budget,2,true,11.44,Children
165,Food,Snacks,Large,Red,Leather,Beta,Luxury,1,true,5.24,Seniors
166,Sports,Equipment,Medium,Black,Plastic,Epsilon,Mid-range,3,false,15.95,Children
167,Sports,Equipment,Large,Blue,Wood,Beta,Luxury,4,false,6.38,Seniors
168,Sports,Nutrition,Medium,Red,Leather,Epsilon,Budget,5,false,7.29,Children
169,Home,Bath,Large,Yellow,Cotton,Epsilon,Premium,2,true,11.98,Teens
170,Food,Fresh,Large,Red,Leather,Gamma,Budget,2,false,18.76,Adults
171,Electronics,Accessories,Medium,Red,Leather,Alpha,Luxury,3,true,0.88,Teens
172,Home,Bath,Large,Red,Plastic,Beta,Budget,1,false,7.68,Seniors
173,Clothing,Shoes,Small,Yellow,Glass,Gamma,Premium,2,false,12.65,Teens
174,Food,Frozen,Small,Green,Glass,Alpha,Luxury,4,true,0.75,Children
175,Home,Decor,Large,White,Metal,Epsilon,Luxury,5,true,0.90,Seniors
176,Home,Furniture,Medium,Blue,Leather,Gamma,Luxury,5,true,12.58,Adults
177,Sports,Accessories,Small,Black,Metal,Gamma,Luxury,2,true,17.09,Teens
178,Electronics,Laptops,Small,White,Leather,Gamma,Premium,4,false,15.96,Adults
179,Sports,Accessories,Small,White,Leather,Epsilon,Luxury,5,true,15.35,Adults
180,Clothing,Dresses,Large,Yellow,Cotton,Gamma,Budget,5,true,8.41,Adults
181,Clothing,Shoes,Large,Purple,Plastic,Epsilon,Luxury,3,true,0.37,Children
182,Food,Frozen,Medium,Purple,Leather,Epsilon,Premium,5,true,7.05,Children
183,Sports,Equipment,Medium,Red,Metal,Delta,Budget,5,true,15.85,Children
184,Sports,Nutrition,Small,Red,Cotton,Gamma,Luxury,3,true,3.85,Children
185,Food,Frozen,Large,Red,Leather,Epsilon,Luxury,1,false,19.87,Children
186,Food,Snacks,Small,Yellow,Wood,Gamma,Premium,4,true,11.38,Teens
187,Clothing,Shirts,Medium,Red,Metal,Epsilon,Luxury,2,false,19.37,Adults
188,Clothing,Shoes,Medium,Purple,Plastic,Delta,Budget,4,false,12.62,Children
189,Electronics,Tablets,Small,White,Wood,Epsilon,Luxury,5,false,11.39,Children
190,Home,Decor,Medium,White,Glass,Gamma,Budget,3,true,7.60,Adults
191,Home,Kitchen,Large,Green,Plastic,Beta,Premium,4,false,18.12,Seniors
192,Sports,Nutrition,Small,Red,Plastic,Gamma,Mid-range,1,true,14.39,Seniors
193,Home,Furniture,Medium,Green,Glass,Beta,Luxury,3,false,15.66,Children
194,Electronics,Accessories,Small,Blue,Cotton,Alpha,Premium,5,true,4.49,Seniors
195,Sports,Nutrition,Medium,Blue,Wood,Epsilon,Budget,1,true,6.83,Children
196,Sports,Equipment,Large,Yellow,Glass,Alpha,Premium,2,false,9.08,Children
197,Sports,Nutrition,Medium,Green,Plastic,Alpha,Budget,3,false,2.40,Seniors
198,Clothing,Shirts,Medium,Blue,Metal,Epsilon,Budget,2,true,19.41,Seniors
199,Sports,Accessories,Medium,Blue,Metal,Gamma,Premium,4,false,7.35,Teens
200,Clothing,Shoes,Medium,Green,Glass,Gamma,Budget,4,true,9.42,Adults
201,Clothing,Shirts,Medium,Green,Leather,Gamma,Luxury,5,true,19.40,Adults
202,Home,Furniture,Medium,Green,Metal,Gamma,Mid-range,5,false,15.82,Children
203,Sports,Accessories,Large,Red,Glass,Delta,Budget,2,true,8.94,Teens
204,Electronics,Phones,Small,Red,Wood,Gamma,Mid-range,2,true,5.68,Seniors
205,Sports,Nutrition,Medium,Blue,Glass,Gamma,Luxury,5,true,14.24,Seniors
206,Sports,Accessories,Large,Purple,Glass,Alpha,Luxury,4,true,10.88,Children
207,Home,Bath,Medium,Purple,Glass,Delta,Budget,1,true,9.09,Seniors
208,Home,Kitchen,Small,Purple,Metal,Beta,Luxury,3,true,16.20,Adults
209,Home,Kitchen,Medium,Green,Leather,Beta,Premium,5,true,10.45,Adults
210,Electronics,Tablets,Medium,Yellow,Metal,Beta,Luxury,3,false,14.00,Teens
211,Sports,Nutrition,Large,Green,Cotton,Delta,Luxury,5,true,9.87,Seniors
212,Clothing,Shirts,Small,Purple,Metal,Gamma,Budget,4,true,18.15,Teens
213,Clothing,Shirts,Small,Blue,Wood,Delta,Luxury,1,true,19.55,Children
214,Electronics,Accessories,Large,Red,Metal,Beta,Luxury,5,true,2.07,Seniors
215,Electronics,Tablets,Large,White,Plastic,Gamma,Luxury,1,true,9.43,Teens
216,Electronics,Laptops,Large,Black,Glass,Gamma,Mid-range,3,true,14.83,Adults
217,Home,Decor,Small,Purple,Glass,Gamma,Luxury,3,true,17.28,Adults
218,Home,Bath,Large,Red,Metal,Delta,Premium,3,true,0.69,Adults
219,Sports,Nutrition,Small,White,Glass,Beta,Budget,3,true,11.24,Seniors
220,Electronics,Tablets,Small,White,Cotton,Beta,Budget,2,true,15.78,Adults
221,Clothing,Dresses,Large,Yellow,Metal,Beta,Budget,2,true,18.76,Adults
222,Sports,Equipment,Small,White,Wood,Delta,Budget,5,true,3.16,Adults
223,Home,Decor,Large,Black,Wood,Epsilon,Premium,1,true,7.63,Teens
224,Home,Bath,Small,Yellow,Wood,Delta,Budget,4,true,11.37,Adults
225,Electronics,Accessories,Small,Red,Glass,Beta,Budget,3,false,12.50,Children
226,Food,Frozen,Medium,Green,Glass,Epsilon,Mid-range,5,true,12.36,Children
227,Electronics,Laptops,Medium,Red,Metal,Delta,Luxury,4,false,3.54,Teens
228,Food,Fresh,Large,Green,Wood,Beta,Luxury,4,true,0.11,Adults
229,Clothing,Shirts,Small,Yellow,Leather,Gamma,Budget,2,true,8.83,Children
230,Clothing,Shirts,Small,Green,Cotton,Epsilon,Luxury,3,false,16.17,Seniors
231,Electronics,Accessories,Small,Blue,Metal,Delta,Mid-range,1,false,7.89,Children
232,Food,Frozen,Small,Yellow,Leather,Alpha,Luxury,1,false,7.15,Children
233,Food,Snacks,Large,Purple,Wood,Gamma,Luxury,5,true,14.15,Children
234,Sports,Equipment,Large,White,Glass,Gamma,Premium,2,false,12.69,Seniors
235,Clothing,Shirts,Large,Purple,Cotton,Epsilon,Mid-range,3,false,9.30,Seniors
236,Sports,Equipment,Large,Blue,Plastic,Beta,Mid-range,1,false,0.90,Adults
237,Sports,Accessories,Small,White,Wood,Alpha,Budget,3,true,15.03,Teens
238,Clothing,Dresses,Medium,Yellow,Cotton,Epsilon,Mid-range,2,false,6.52,Seniors
239,Sports,Accessories,Small,Red,Cotton,Delta,Mid-range,2,true,2.73,Adults
240,Home,Kitchen,Small,Black,Cotton,Delta,Luxury,1,true,6.30,Children
241,Clothing,Pants,Large,Black,Metal,Gamma,Premium,1,true,4.01,Teens
242,Clothing,Shoes,Small,Blue,Metal,Epsilon,Premium,2,true,0.25,Seniors
243,Home,Furniture,Small,Yellow,Leather,Epsilon,Premium,2,false,7.44,Seniors
244,Food,Frozen,Small,Blue,Cotton,Epsilon,Luxury,2,true,7.38,Seniors
245,Home,Bath,Small,Blue,Wood,Gamma,Luxury,4,true,17.54,Children
246,Electronics,Tablets,Medium,White,Glass,Delta,Luxury,5,false,9.98,Teens
247,Home,Kitchen,Small,White,Metal,Beta,Mid-range,2,true,6.50,Children
248,Clothing,Pants,Medium,Yellow,Metal,Beta,Budget,3,true,2.40,Seniors
249,Sports,Nutrition,Medium,Green,Leather,Beta,Luxury,2,false,5.75,Teens
250,Sports,Nutrition,Large,Black,Cotton,Delta,Premium,4,true,12.00,Adults
251,Electronics,Accessories,Medium,Black,Metal,Alpha,Mid-range,4,false,19.26,Seniors
252,Home,Bath,Small,Red,Leather,Epsilon,Budget,1,false,19.42,Children
253,Food,Snacks,Large,Purple,Leather,Delta,Premium,1,true,10.48,Adults
254,Electronics,Accessories,Medium,Black,Metal,Alpha,Premium,3,false,11.30,Seniors
255,Clothing,Shoes,Medium,Blue,Plastic,Epsilon,Budget,1,true,1.22,Adults
256,Clothing,Shoes,Medium,White,Cotton,Beta,Budget,5,true,9.09,Seniors
257,Sports,Equipment,Small,Green,Cotton,Epsilon,Luxury,4,true,4.79,Adults
258,Food,Beverages,Medium,Green,Plastic,Epsilon,Premium,4,false,10.58,Teens
259,Electronics,Tablets,Small,Yellow,Glass,Delta,Budget,3,true,7.90,Teens
260,Clothing,Pants,Small,Blue,Metal,Gamma,Luxury,3,false,10.76,Adults
261,Sports,Nutrition,Small,Green,Plastic,Gamma,Budget,1,true,11.06,Children
262,Sports,Accessories,Large,Red,Cotton,Beta,Budget,4,true,10.55,Children
263,Food,Beverages,Large,Purple,Leather,Delta,Mid-range,5,false,17.48,Seniors
264,Sports,Equipment,Large,Purple,Glass,Alpha,Premium,5,true,16.06,Teens
265,Sports,Equipment,Large,Blue,Metal,Epsilon,Budget,2,false,17.50,Teens
266,Home,Kitchen,Large,Blue,Glass,Epsilon,Luxury,4,true,14.93,Adults
267,Food,Frozen,Medium,Red,Metal,Delta,Premium,4,false,6.60,Teens
268,Food,Snacks,Large,Blue,Metal,Gamma,Budget,2,true,0.16,Adults
269,Electronics,Laptops,Medium,Red,Cotton,Alpha,Mid-range,1,true,1.59,Seniors
270,Home,Furniture,Small,Yellow,Metal,Beta,Luxury,3,true,10.45,Children
271,Electronics,Phones,Large,Red,Metal,Epsilon,Mid-range,1,true,17.18,Adults
272,Food,Beverages,Medium,Purple,Glass,Delta,Luxury,1,true,19.55,Seniors
273,Sports,Accessories,Medium,Green,Metal,Alpha,Budget,2,true,18.42,Seniors
274,Clothing,Pants,Medium,Green,Leather,Alpha,Luxury,1,false,2.08,Adults
275,Clothing,Dresses,Large,Yellow,Glass,Epsilon,Premium,5,true,5.66,Seniors
276,Home,Decor,Medium,Red,Cotton,Alpha,Budget,1,true,8.89,Adults
277,Sports,Nutrition,Medium,Yellow,Glass,Delta,Mid-range,1,true,9.15,Teens
278,Sports,Nutrition,Large,White,Leather,Beta,Budget,4,false,8.21,Teens
279,Clothing,Pants,Medium,Red,Wood,Beta,Premium,1,false,3.29,Seniors
280,Clothing,Shoes,Small,Purple,Metal,Delta,Luxury,2,false,10.18,Seniors
281,Clothing,Dresses,Medium,White,Glass,Gamma,Premium,5,true,14.25,Seniors
282,Food,Snacks,Medium,Blue,Cotton,Delta,Luxury,5,true,1.48,Adults
283,Electronics,Laptops,Large,Blue,Leather,Delta,Mid-range,2,true,0.79,Adults
284,Sports,Apparel,Medium,Green,Metal,Gamma,Budget,2,true,15.19,Adults
285,Food,Beverages,Small,Black,Glass,Gamma,Luxury,1,true,11.62,Seniors
286,Sports,Accessories,Small,Blue,Metal,Delta,Budget,1,true,6.62,Children
287,Home,Bath,Large,Red,Plastic,Gamma,Budget,3,true,16.06,Children
288,Food,Beverages,Small,Red,Leather,Delta,Budget,2,true,11.52,Seniors
289,Clothing,Shirts,Small,Yellow,Wood,Epsilon,Premium,3,true,11.02,Teens
290,Sports,Apparel,Medium,Purple,Leather,Alpha,Premium,3,true,8.32,Seniors
291,Home,Kitchen,Medium,Blue,Metal,Alpha,Mid-range,2,true,11.62,Adults
292,Clothing,Shirts,Medium,White,Plastic,Delta,Mid-range,4,true,17.15,Seniors
293,Sports,Nutrition,Medium,Black,Metal,Epsilon,Premium,5,true,9.00,Adults
294,Food,Frozen,Medium,Blue,Glass,Delta,Budget,4,false,8.43,Children
295,Sports,Apparel,Small,Blue,Cotton,Alpha,Luxury,1,true,10.57,Children
296,Clothing,Shirts,Medium,White,Leather,Beta,Mid-range,4,true,16.87,Seniors
297,Food,Fresh,Large,White,Leather,Delta,Budget,4,true,13.40,Adults
298,Electronics,Accessories,Large,Green,Metal,Gamma,Luxury,4,true,5.32,Seniors
299,Home,Bath,Medium,Green,Plastic,Beta,Budget,3,true,0.54,Adults
300,Clothing,Shoes,Small,Yellow,Glass,Alpha,Mid-range,5,false,1.09,Adults
301,Sports,Nutrition,Large,Yellow,Leather,Gamma,Mid-range,4,false,1.32,Children
302,Home,Decor,Small,Green,Cotton,Alpha,Luxury,4,true,12.20,Children
303,Food,Fresh,Large,White,Cotton,Epsilon,Luxury,1,true,15.59,Children
304,Home,Furniture,Medium,Red,Wood,Alpha,Budget,3,false,17.46,Seniors
305,Clothing,Dresses,Small,Red,Metal,Beta,Mid-range,5,true,4.27,Seniors
306,Electronics,Laptops,Small,Yellow,Metal,Alpha,Mid-range,1,true,9.05,Seniors
307,Clothing,Pants,Small,Purple,Glass,Epsilon,Luxury,1,true,10.78,Children
308,Electronics,Accessories,Medium,Yellow,Wood,Beta,Mid-range,1,true,15.85,Teens
309,Sports,Apparel,Medium,Green,Cotton,Epsilon,Luxury,1,true,19.43,Children
310,Sports,Accessories,Medium,Red,Metal,Delta,Luxury,2,true,1.82,Teens
311,Clothing,Shoes,Medium,Purple,Wood,Gamma,Mid-range,1,true,17.46,Adults
312,Electronics,Laptops,Small,White,Metal,Gamma,Mid-range,1,false,9.91,Teens
313,Food,Frozen,Medium,Green,Cotton,Alpha,Luxury,3,true,1.73,Seniors
314,Sports,Equipment,Small,Red,Leather,Delta,Mid-range,4,false,1.43,Seniors
315,Clothing,Dresses,Large,Yellow,Wood,Epsilon,Budget,3,false,8.37,Adults
316,Electronics,Accessories,Large,Green,Cotton,Epsilon,Mid-range,3,true,12.49,Adults
317,Clothing,Dresses,Small,Red,Plastic,Delta,Budget,5,true,13.93,Children
318,Home,Furniture,Large,Green,Leather,Gamma,Luxury,5,true,7.53,Adults
