ID,Value,Squared,Cubed,Square Root,Natural Log,Sine,Cosine,Is Even
69,16,4761,328509,8.307,4.234,-0.115,0.993,false
70,6,4900,343000,8.367,4.248,0.774,0.633,true
71,13,5041,357911,8.426,4.263,0.951,-0.309,false
72,54,5184,373248,8.485,4.277,0.254,-0.967,true
73,82,5329,389017,8.544,4.290,-0.677,-0.736,false
74,9,5476,405224,8.602,4.304,-0.985,0.172,true
75,70,5625,421875,8.660,4.317,-0.388,0.922,false
76,85,5776,438976,8.718,4.331,0.566,0.824,true
77,18,5929,456533,8.775,4.344,1.000,-0.031,false
78,3,6084,474552,8.832,4.357,0.514,-0.858,true
79,20,6241,493039,8.888,4.369,-0.444,-0.896,false
80,100,6400,512000,8.944,4.382,-0.994,-0.110,true
81,71,6561,531441,9.000,4.394,-0.630,0.777,false
82,63,6724,551368,9.055,4.407,0.313,0.950,true
83,91,6889,571787,9.110,4.419,0.968,0.250,false
84,63,7056,592704,9.165,4.431,0.733,-0.680,true
85,84,7225,614125,9.220,4.443,-0.176,-0.984,false
86,62,7396,636056,9.274,4.454,-0.923,-0.384,true
87,42,7569,658503,9.327,4.466,-0.822,0.570,false
88,53,7744,681472,9.381,4.477,0.035,0.999,true
89,7,7921,704969,9.434,4.489,0.860,0.510,false
90,5,8100,729000,9.487,4.500,0.894,-0.448,true
91,54,8281,753571,9.539,4.511,0.106,-0.994,false
92,84,8464,778688,9.592,4.522,-0.779,-0.626,true
93,47,8649,804357,9.644,4.533,-0.948,0.317,false
94,76,8836,830584,9.695,4.543,-0.245,0.969,true
95,72,9025,857375,9.747,4.554,0.683,0.730,false
96,19,9216,884736,9.798,4.564,0.984,-0.180,true
97,28,9409,912673,9.849,4.575,0.380,-0.925,false
98,69,9604,941192,9.899,4.585,-0.573,-0.819,true
99,59,9801,970299,9.950,4.595,-0.999,0.040,false
100,63,10000,1000000,10.000,4.605,-0.506,0.862,true
101,67,10201,1030301,10.050,4.615,0.452,0.892,false
102,77,10404,1061208,10.100,4.625,0.995,0.102,true
103,15,10609,1092727,10.149,4.635,0.623,-0.782,false
104,89,10816,1124864,10.198,4.644,-0.322,-0.947,true
105,26,11025,1157625,10.247,4.654,-0.971,-0.241,false
106,1,11236,1191016,10.296,4.663,-0.727,0.686,true
107,76,11449,1225043,10.344,4.673,0.185,0.983,false
108,28,11664,1259712,10.392,4.682,0.927,0.376,true
109,29,11881,1295029,10.440,4.691,0.817,-0.577,false
110,87,12100,1331000,10.488,4.700,-0.044,-0.999,true
111,37,12321,1367631,10.536,4.710,-0.865,-0.503,false
112,90,12544,1404928,10.583,4.718,-0.890,0.456,true
113,70,12769,1442897,10.630,4.727,-0.097,0.995,false
114,37,12996,1481544,10.677,4.736,0.785,0.620,true
115,43,13225,1520875,10.724,4.745,0.945,-0.326,false
116,57,13456,1560896,10.770,4.754,0.237,-0.972,true
117,42,13689,1601613,10.817,4.762,-0.690,-0.724,false
118,73,13924,1643032,10.863,4.771,-0.982,0.189,true
119,50,14161,1685159,10.909,4.779,-0.371,0.928,false
120,45,14400,1728000,10.954,4.787,0.581,0.814,true
121,13,14641,1771561,11.000,4.796,0.999,-0.049,false
122,6,14884,1815848,11.045,4.804,0.499,-0.867,true
123,9,15129,1860867,11.091,4.812,-0.460,-0.888,false
124,31,15376,1906624,11.136,4.820,-0.996,-0.093,true
125,70,15625,1953125,11.180,4.828,-0.616,0.788,false
126,53,15876,2000376,11.225,4.836,0.330,0.944,true
127,68,16129,2048383,11.269,4.844,0.973,0.232,false
128,75,16384,2097152,11.314,4.852,0.721,-0.693,true
129,51,16641,2146689,11.358,4.860,-0.193,-0.981,false
130,26,16900,2197000,11.402,4.868,-0.930,-0.367,true
131,40,17161,2248091,11.446,4.875,-0.812,0.584,false
132,77,17424,2299968,11.489,4.883,0.053,0.999,true
133,98,17689,2352637,11.533,4.890,0.869,0.495,false
134,54,17956,2406104,11.576,4.898,0.886,-0.464,true
135,14,18225,2460375,11.619,4.905,0.088,-0.996,false
136,42,18496,2515456,11.662,4.913,-0.790,-0.613,true
137,1,18769,2571353,11.705,4.920,-0.943,0.334,false
138,52,19044,2628072,11.747,4.927,-0.228,0.974,true
139,47,19321,2685619,11.790,4.934,0.696,0.718,false
140,6,19600,2744000,11.832,4.942,0.980,-0.198,true
141,69,19881,2803221,11.874,4.949,0.363,-0.932,false
142,31,20164,2863288,11.916,4.956,-0.588,-0.809,true
143,31,20449,2924207,11.958,4.963,-0.998,0.058,false
144,5,20736,2985984,12.000,4.970,-0.491,0.871,true
145,84,21025,3048625,12.042,4.977,0.468,0.884,false
146,27,21316,3112136,12.083,4.984,0.996,0.084,true
147,7,21609,3176523,12.124,4.990,0.609,-0.793,false
148,38,21904,3241792,12.166,4.997,-0.338,-0.941,true
149,26,22201,3307949,12.207,5.004,-0.975,-0.224,false
150,16,22500,3375000,12.247,5.011,-0.715,0.699,true
151,96,22801,3442951,12.288,5.017,0.202,0.979,false
152,7,23104,3511808,12.329,5.024,0.933,0.359,true
153,95,23409,3581577,12.369,5.030,0.806,-0.591,false
154,11,23716,3652264,12.410,5.037,-0.062,-0.998,true
155,75,24025,3723875,12.450,5.043,-0.873,-0.487,false
156,19,24336,3796416,12.490,5.050,-0.882,0.472,true
157,74,24649,3869893,12.530,5.056,-0.080,0.997,false
158,22,24964,3944312,12.570,5.063,0.796,0.606,true
159,11,25281,4019679,12.610,5.069,0.940,-0.342,false
160,81,25600,4096000,12.649,5.075,0.219,-0.976,true
161,84,25921,4173281,12.689,5.081,-0.702,-0.712,false
162,96,26244,4251528,12.728,5.088,-0.978,0.206,true
163,75,26569,4330747,12.767,5.094,-0.355,0.935,false
164,10,26896,4410944,12.806,5.100,0.595,0.804,true
165,9,27225,4492125,12.845,5.106,0.998,-0.066,false
166,69,27556,4574296,12.884,5.112,0.483,-0.875,true
167,13,27889,4657463,12.923,5.118,-0.476,-0.880,false
168,76,28224,4741632,12.961,5.124,-0.997,-0.075,true
169,23,28561,4826809,13.000,5.130,-0.602,0.798,false
170,22,28900,4913000,13.038,5.136,0.347,0.938,true
171,18,29241,5000211,13.077,5.142,0.977,0.215,false
172,60,29584,5088448,13.115,5.147,0.709,-0.706,true
173,49,29929,5177717,13.153,5.153,-0.211,-0.978,false
174,50,30276,5268024,13.191,5.159,-0.936,-0.351,true
175,47,30625,5359375,13.229,5.165,-0.801,0.598,false
176,95,30976,5451776,13.266,5.170,0.071,0.997,true
177,70,31329,5545233,13.304,5.176,0.878,0.479,false
178,97,31684,5639752,13.342,5.182,0.878,-0.479,true
179,49,32041,5735339,13.379,5.187,0.071,-0.997,false
180,5,32400,5832000,13.416,5.193,-0.801,-0.598,true
181,87,32761,5929741,13.454,5.198,-0.936,0.351,false
182,67,33124,6028568,13.491,5.204,-0.211,0.978,true
183,70,33489,6128487,13.528,5.209,0.709,0.706,false
184,37,33856,6229504,13.565,5.215,0.977,-0.215,true
185,49,34225,6331625,13.601,5.220,0.347,-0.938,false
186,81,34596,6434856,13.638,5.226,-0.602,-0.798,true
187,72,34969,6539203,13.675,5.231,-0.997,0.075,false
188,53,35344,6644672,13.711,5.236,-0.476,0.880,true
189,45,35721,6751269,13.748,5.242,0.483,0.875,false
190,65,36100,6859000,13.784,5.247,0.998,0.066,true
191,90,36481,6967871,13.820,5.252,0.595,-0.804,false
192,29,36864,7077888,13.856,5.257,-0.355,-0.935,true
193,37,37249,7189057,13.892,5.263,-0.978,-0.206,false
194,38,37636,7301384,13.928,5.268,-0.702,0.712,true
195,50,38025,7414875,13.964,5.273,0.219,0.976,false
196,64,38416,7529536,14.000,5.278,0.940,0.342,true
197,41,38809,7645373,14.036,5.283,0.796,-0.606,false
198,87,39204,7762392,14.071,5.288,-0.080,-0.997,true
199,43,39601,7880599,14.107,5.293,-0.882,-0.472,false
200,92,40000,8000000,14.142,5.298,-0.873,0.487,true
201,63,40401,8120601,14.177,5.303,-0.062,0.998,false
202,85,40804,8242408,14.213,5.308,0.806,0.591,true
203,99,41209,8365427,14.248,5.313,0.933,-0.359,false
204,10,41616,8489664,14.283,5.318,0.202,-0.979,true
205,51,42025,8615125,14.318,5.323,-0.715,-0.699,false
206,73,42436,8741816,14.353,5.328,-0.975,0.224,true
207,88,42849,8869743,14.387,5.333,-0.338,0.941,false
208,53,43264,8998912,14.422,5.338,0.609,0.793,true
209,93,43681,9129329,14.457,5.342,0.996,-0.084,false
210,81,44100,9261000,14.491,5.347,0.468,-0.884,true
211,36,44521,9393931,14.526,5.352,-0.491,-0.871,false
212,72,44944,9528128,14.560,5.357,-0.998,-0.057,true
213,16,45369,9663597,14.595,5.361,-0.588,0.809,false
214,20,45796,9800344,14.629,5.366,0.363,0.932,true
215,55,46225,9938375,14.663,5.371,0.980,0.198,false
216,41,46656,10077696,14.697,5.375,0.696,-0.718,true
217,30,47089,10218313,14.731,5.380,-0.228,-0.974,false
218,9,47524,10360232,14.765,5.384,-0.943,-0.334,true
219,12,47961,10503459,14.799,5.389,-0.790,0.613,false
220,34,48400,10648000,14.832,5.394,0.088,0.996,true
221,11,48841,10793861,14.866,5.398,0.886,0.464,false
222,40,49284,10941048,14.900,5.403,0.869,-0.495,true
223,90,49729,11089567,14.933,5.407,0.053,-0.999,false
224,5,50176,11239424,14.967,5.412,-0.812,-0.584,true
225,45,50625,11390625,15.000,5.416,-0.930,0.367,false
226,90,51076,11543176,15.033,5.421,-0.193,0.981,true
227,73,51529,11697083,15.067,5.425,0.721,0.693,false
228,82,51984,11852352,15.100,5.429,0.973,-0.232,true
229,35,52441,12008989,15.133,5.434,0.330,-0.944,false
230,93,52900,12167000,15.166,5.438,-0.616,-0.788,true
231,27,53361,12326391,15.199,5.442,-0.996,0.093,false
232,86,53824,12487168,15.232,5.447,-0.460,0.888,true
233,24,54289,12649337,15.264,5.451,0.499,0.867,false
234,41,54756,12812904,15.297,5.455,0.999,0.049,true
235,3,55225,12977875,15.330,5.460,0.581,-0.814,false
236,10,55696,13144256,15.362,5.464,-0.371,-0.928,true
237,87,56169,13312053,15.395,5.468,-0.982,-0.189,false
238,74,56644,13481272,15.427,5.472,-0.690,0.724,true
239,89,57121,13651919,15.460,5.476,0.237,0.972,false
240,81,57600,13824000,15.492,5.481,0.945,0.326,true
241,16,58081,13997521,15.524,5.485,0.785,-0.620,false
242,71,58564,14172488,15.556,5.489,-0.097,-0.995,true
243,83,59049,14348907,15.588,5.493,-0.890,-0.456,false
244,74,59536,14526784,15.620,5.497,-0.865,0.503,true
245,99,60025,14706125,15.652,5.501,-0.044,0.999,false
246,71,60516,14886936,15.684,5.505,0.817,0.577,true
247,78,61009,15069223,15.716,5.509,0.927,-0.376,false
248,46,61504,15252992,15.748,5.513,0.185,-0.983,true
249,41,62001,15438249,15.780,5.517,-0.727,-0.686,false
250,9,62500,15625000,15.811,5.521,-0.971,0.241,true
251,56,63001,15813251,15.843,5.525,-0.322,0.947,false
252,35,63504,16003008,15.875,5.529,0.623,0.782,true
253,64,64009,16194277,15.906,5.533,0.995,-0.102,false
254,45,64516,16387064,15.937,5.537,0.452,-0.892,true
255,85,65025,16581375,15.969,5.541,-0.506,-0.862,false
256,97,65536,16777216,16.000,5.545,-0.999,-0.040,true
257,33,66049,16974593,16.031,5.549,-0.573,0.819,false
258,84,66564,17173512,16.062,5.553,0.380,0.925,true
259,32,67081,17373979,16.093,5.557,0.984,0.180,false
260,51,67600,17576000,16.125,5.561,0.683,-0.730,true
261,100,68121,17779581,16.155,5.565,-0.245,-0.969,false
262,96,68644,17984728,16.186,5.568,-0.948,-0.317,true
263,9,69169,18191447,16.217,5.572,-0.779,0.626,false
264,21,69696,18399744,16.248,5.576,0.106,0.994,true
265,84,70225,18609625,16.279,5.580,0.894,0.448,false
266,68,70756,18821096,16.310,5.583,0.860,-0.510,true
267,62,71289,19034163,16.340,5.587,0.035,-0.999,false
268,99,71824,19248832,16.371,5.591,-0.822,-0.570,true
269,43,72361,19465109,16.401,5.595,-0.923,0.384,false
270,67,72900,19683000,16.432,5.598,-0.176,0.984,true
271,15,73441,19902511,16.462,5.602,0.733,0.680,false
272,62,73984,20123648,16.492,5.606,0.968,-0.250,true
273,97,74529,20346417,16.523,5.609,0.313,-0.950,false
274,26,75076,20570824,16.553,5.613,-0.630,-0.777,true
275,90,75625,20796875,16.583,5.617,-0.994,0.110,false
276,43,76176,21024576,16.613,5.620,-0.444,0.896,true
277,36,76729,21253933,16.643,5.624,0.514,0.858,false
278,93,77284,21484952,16.673,5.628,1.000,0.031,true
279,18,77841,21717639,16.703,5.631,0.566,-0.824,false
280,3,78400,21952000,16.733,5.635,-0.388,-0.922,true
281,80,78961,22188041,16.763,5.638,-0.985,-0.172,false
282,33,79524,22425768,16.793,5.642,-0.677,0.736,true
283,59,80089,22665187,16.823,5.645,0.254,0.967,false
284,100,80656,22906304,16.852,5.649,0.951,0.309,true
285,21,81225,23149125,16.882,5.652,0.774,-0.633,false
286,100,81796,23393656,16.912,5.656,-0.115,-0.993,true
287,97,82369,23639903,16.941,5.659,-0.898,-0.440,false
288,22,82944,23887872,16.971,5.663,-0.856,0.518,true
289,60,83521,24137569,17.000,5.666,-0.027,1.000,false
290,39,84100,24389000,17.029,5.670,0.827,0.562,true
291,58,84681,24642171,17.059,5.673,0.920,-0.392,false
292,19,85264,24897088,17.088,5.677,0.167,-0.986,true
293,46,85849,25153757,17.117,5.680,-0.739,-0.673,false
294,6,86436,25412184,17.146,5.684,-0.966,0.258,true
295,76,87025,25672375,17.176,5.687,-0.305,0.952,false
296,77,87616,25934336,17.205,5.690,0.637,0.771,true
297,61,88209,26198073,17.234,5.694,0.993,-0.119,false
298,21,88804,26463592,17.263,5.697,0.436,-0.900,true
299,59,89401,26730899,17.292,5.700,-0.522,-0.853,false
300,77,90000,27000000,17.321,5.704,-1.000,-0.022,true
301,33,90601,27270901,17.349,5.707,-0.559,0.829,false
302,50,91204,27543608,17.378,5.710,0.396,0.918,true
303,65,91809,27818127,17.407,5.714,0.987,0.163,false
304,8,92416,28094464,17.436,5.717,0.670,-0.742,true
305,88,93025,28372625,17.464,5.720,-0.262,-0.965,false
306,27,93636,28652616,17.493,5.724,-0.954,-0.301,true
307,41,94249,28934443,17.521,5.727,-0.768,0.640,false
308,7,94864,29218112,17.550,5.730,0.124,0.992,true
309,3,95481,29503629,17.578,5.733,0.902,0.432,false
310,18,96100,29791000,17.607,5.737,0.851,-0.525,true
311,10,96721,30080231,17.635,5.740,0.018,-1.000,false
312,37,97344,30371328,17.664,5.743,-0.832,-0.555,true
313,80,97969,30664297,17.692,5.746,-0.917,0.400,false
314,94,98596,30959144,17.720,5.749,-0.159,0.987,true
315,83,99225,31255875,17.748,5.753,0.745,0.667,false
316,87,99856,31554496,17.776,5.756,0.964,-0.267,true
317,9,100489,31855013,17.804,5.759,0.296,-0.955,false
318,34,101124,32157432,17.833,5.762,-0.644,-0.765,true
319,58,101761,32461759,17.861,5.765,-0.992,0.128,false
320,42,102400,32768000,17.889,5.768,-0.428,0.904,true
321,10,103041,33076161,17.916,5.771,0.529,0.849,false
322,56,103684,33386248,17.944,5.775,1.000,0.013,true
323,32,104329,33698267,17.972,5.778,0.551,-0.834,false
324,44,104976,34012224,18.000,5.781,-0.404,-0.915,true
325,46,105625,34328125,18.028,5.784,-0.988,-0.154,false
326,84,106276,34645976,18.055,5.787,-0.664,0.748,true
327,39,106929,34965783,18.083,5.790,0.271,0.963,false
328,86,107584,35287552,18.111,5.793,0.956,0.292,true
329,34,108241,35611289,18.138,5.796,0.763,-0.647,false
330,15,108900,35937000,18.166,5.799,-0.132,-0.991,true
331,14,109561,36264691,18.193,5.802,-0.906,-0.424,false
332,33,110224,36594368,18.221,5.805,-0.846,0.533,true
333,97,110889,36926037,18.248,5.808,-0.009,1.000,false
334,43,111556,37259704,18.276,5.811,0.837,0.548,true
335,82,112225,37595375,18.303,5.814,0.913,-0.408,false
336,44,112896,37933056,18.330,5.817,0.150,-0.989,true
337,87,113569,38272753,18.358,5.820,-0.751,-0.660,false
338,17,114244,38614472,18.385,5.823,-0.961,0.275,true
339,23,114921,38958219,18.412,5.826,-0.288,0.958,false
340,32,115600,39304000,18.439,5.829,0.650,0.760,true
341,94,116281,39651821,18.466,5.832,0.991,-0.137,false
342,52,116964,40001688,18.493,5.835,0.420,-0.907,true
343,69,117649,40353607,18.520,5.838,-0.537,-0.844,false
344,72,118336,40707584,18.547,5.841,-1.000,-0.004,true
345,26,119025,41063625,18.574,5.844,-0.544,0.839,false
346,73,119716,41421736,18.601,5.846,0.412,0.911,true
347,33,120409,41781923,18.628,5.849,0.989,0.145,false
348,48,121104,42144192,18.655,5.852,0.657,-0.754,true
349,15,121801,42508549,18.682,5.855,-0.279,-0.960,false
350,27,122500,42875000,18.708,5.858,-0.959,-0.284,true
351,100,123201,43243551,18.735,5.861,-0.757,0.654,false
352,13,123904,43614208,18.762,5.864,0.141,0.990,true
353,6,124609,43986977,18.788,5.866,0.909,0.416,false
354,51,125316,44361864,18.815,5.869,0.841,-0.540,true
355,28,126025,44738875,18.841,5.872,-0.000,-1.000,false
356,56,126736,45118016,18.868,5.875,-0.841,-0.540,true
357,2,127449,45499293,18.894,5.878,-0.909,0.416,false
358,1,128164,45882712,18.921,5.881,-0.141,0.990,true
359,78,128881,46268279,18.947,5.883,0.757,0.654,false
360,47,129600,46656000,18.974,5.886,0.959,-0.284,true
361,86,130321,47045881,19.000,5.889,0.279,-0.960,false
362,63,131044,47437928,19.026,5.892,-0.657,-0.754,true
363,12,131769,47832147,19.053,5.894,-0.989,0.146,false
364,85,132496,48228544,19.079,5.897,-0.412,0.911,true
365,64,133225,48627125,19.105,5.900,0.544,0.839,false
366,40,133956,49027896,19.131,5.903,1.000,-0.004,true
367,67,134689,49430863,19.157,5.905,0.537,-0.844,false
368,65,135424,49836032,19.183,5.908,-0.420,-0.907,true
369,87,136161,50243409,19.209,5.911,-0.991,-0.137,false
370,20,136900,50653000,19.235,5.914,-0.650,0.760,true
371,53,137641,51064811,19.261,5.916,0.288,0.958,false
372,52,138384,51478848,19.287,5.919,0.961,0.275,true
373,61,139129,51895117,19.313,5.922,0.751,-0.660,false
374,86,139876,52313624,19.339,5.924,-0.150,-0.989,true
375,81,140625,52734375,19.365,5.927,-0.913,-0.408,false
376,27,141376,53157376,19.391,5.930,-0.837,0.548,true
377,94,142129,53582633,19.416,5.932,0.009,1.000,false
378,26,142884,54010152,19.442,5.935,0.846,0.533,true
379,11,143641,54439939,19.468,5.938,0.906,-0.424,false
380,26,144400,54872000,19.494,5.940,0.132,-0.991,true
381,35,145161,55306341,19.519,5.943,-0.763,-0.647,false
382,76,145924,55742968,19.545,5.945,-0.956,0.292,true
383,68,146689,56181887,19.570,5.948,-0.271,0.963,false
384,88,147456,56623104,19.596,5.951,0.664,0.748,true
385,2,148225,57066625,19.621,5.953,0.988,-0.154,false
386,51,148996,57512456,19.647,5.956,0.404,-0.915,true
387,26,149769,57960603,19.672,5.958,-0.551,-0.834,false
388,66,150544,58411072,19.698,5.961,-1.000,0.013,true
389,38,151321,58863869,19.723,5.964,-0.529,0.849,false
390,33,152100,59319000,19.748,5.966,0.428,0.904,true
391,49,152881,59776471,19.774,5.969,0.992,0.128,false
392,46,153664,60236288,19.799,5.971,0.644,-0.765,true
393,92,154449,60698457,19.824,5.974,-0.296,-0.955,false
394,44,155236,61162984,19.849,5.976,-0.964,-0.267,true
395,87,156025,61629875,19.875,5.979,-0.745,0.667,false
396,81,156816,62099136,19.900,5.981,0.159,0.987,true
397,26,157609,62570773,19.925,5.984,0.917,0.400,false
398,10,158404,63044792,19.950,5.986,0.832,-0.555,true
399,17,159201,63521199,19.975,5.989,-0.018,-1.000,false
400,5,160000,64000000,20.000,5.991,-0.851,-0.525,true
401,32,160801,64481201,20.025,5.994,-0.902,0.432,false
402,56,161604,64964808,20.050,5.996,-0.124,0.992,true
403,35,162409,65450827,20.075,5.999,0.768,0.640,false
404,5,163216,65939264,20.100,6.001,0.954,-0.301,true
405,27,164025,66430125,20.125,6.004,0.262,-0.965,false
406,49,164836,66923416,20.149,6.006,-0.670,-0.742,true
407,39,165649,67419143,20.174,6.009,-0.987,0.163,false
408,55,166464,67917312,20.199,6.011,-0.396,0.918,true
409,22,167281,68417929,20.224,6.014,0.559,0.829,false
410,43,168100,68921000,20.248,6.016,1.000,-0.022,true
411,2,168921,69426531,20.273,6.019,0.522,-0.853,false
412,30,169744,69934528,20.298,6.021,-0.436,-0.900,true
413,21,170569,70444997,20.322,6.023,-0.993,-0.119,false
414,75,171396,70957944,20.347,6.026,-0.637,0.771,true
415,89,172225,71473375,20.372,6.028,0.305,0.952,false
416,10,173056,71991296,20.396,6.031,0.966,0.258,true
417,64,173889,72511713,20.421,6.033,0.739,-0.674,false
418,3,174724,73034632,20.445,6.035,-0.167,-0.986,true
419,20,175561,73560059,20.469,6.038,-0.920,-0.392,false
420,26,176400,74088000,20.494,6.040,-0.827,0.562,true
421,77,177241,74618461,20.518,6.043,0.027,1.000,false
422,8,178084,75151448,20.543,6.045,0.856,0.518,true
423,26,178929,75686967,20.567,6.047,0.898,-0.440,false
424,69,179776,76225024,20.591,6.050,0.115,-0.993,true
425,43,180625,76765625,20.616,6.052,-0.774,-0.633,false
426,63,181476,77308776,20.640,6.054,-0.951,0.309,true
427,4,182329,77854483,20.664,6.057,-0.254,0.967,false
428,8,183184,78402752,20.688,6.059,0.677,0.736,true
429,71,184041,78953589,20.712,6.061,0.985,-0.172,false
430,4,184900,79507000,20.736,6.064,0.388,-0.922,true
431,95,185761,80062991,20.761,6.066,-0.566,-0.824,false
432,25,186624,80621568,20.785,6.068,-1.000,0.031,true
433,74,187489,81182737,20.809,6.071,-0.514,0.858,false
434,11,188356,81746504,20.833,6.073,0.444,0.896,true
435,74,189225,82312875,20.857,6.075,0.994,0.110,false
436,42,190096,82881856,20.881,6.078,0.630,-0.777,true
437,19,190969,83453453,20.905,6.080,-0.313,-0.950,false
438,87,191844,84027672,20.928,6.082,-0.968,-0.250,true
439,67,192721,84604519,20.952,6.084,-0.733,0.680,false
440,81,193600,85184000,20.976,6.087,0.176,0.984,true
441,73,194481,85766121,21.000,6.089,0.923,0.384,false
442,79,195364,86350888,21.024,6.091,0.822,-0.570,true
443,21,196249,86938307,21.048,6.094,-0.035,-0.999,false
444,97,197136,87528384,21.071,6.096,-0.860,-0.510,true
445,89,198025,88121125,21.095,6.098,-0.894,0.448,false
446,55,198916,88716536,21.119,6.100,-0.106,0.994,true
447,90,199809,89314623,21.142,6.103,0.779,0.626,false
448,29,200704,89915392,21.166,6.105,0.948,-0.317,true
449,7,201601,90518849,21.190,6.107,0.245,-0.969,false
450,74,202500,91125000,21.213,6.109,-0.683,-0.730,true
451,37,203401,91733851,21.237,6.111,-0.984,0.180,false
452,75,204304,92345408,21.260,6.114,-0.380,0.925,true
453,42,205209,92959677,21.284,6.116,0.573,0.819,false
454,9,206116,93576664,21.307,6.118,0.999,-0.040,true
455,78,207025,94196375,21.331,6.120,0.506,-0.862,false
456,82,207936,94818816,21.354,6.122,-0.452,-0.892,true
457,2,208849,95443993,21.378,6.125,-0.995,-0.102,false
458,62,209764,96071912,21.401,6.127,-0.623,0.782,true
459,14,210681,96702579,21.424,6.129,0.322,0.947,false
460,60,211600,97336000,21.448,6.131,0.971,0.241,true
461,8,212521,97972181,21.471,6.133,0.727,-0.687,false
462,22,213444,98611128,21.494,6.136,-0.185,-0.983,true
463,3,214369,99252847,21.517,6.138,-0.927,-0.375,false
464,57,215296,99897344,21.541,6.140,-0.817,0.577,true
465,86,216225,100544625,21.564,6.142,0.044,0.999,false
466,2,217156,101194696,21.587,6.144,0.865,0.503,true
467,89,218089,101847563,21.610,6.146,0.890,-0.456,false
468,17,219024,102503232,21.633,6.148,0.097,-0.995,true
