Temperature (°C),Humidity (%),Ice Cream Sales,Beach Visitors,Energy Consumption (kWh),Air Quality Index,Outdoor Activities,Water Consumption (L),Sunscreen Sales,Restaurant Visitors,Mood Index,Productivity Score
7.0,51.7,84,174,380,78,58,738,44,111,4,55
21.8,43.3,229,446,502,58,155,771,154,246,10,49
17.2,72.9,195,389,583,29,96,1012,123,130,10,53
7.2,50.7,32,130,357,60,34,809,69,32,6,56
16.8,61.6,160,350,607,42,136,1078,151,184,10,46
31.0,81.6,316,857,832,4,191,1417,243,269,10,40
28.9,89.1,297,684,887,24,172,1337,243,279,10,47
9.7,75.4,129,300,510,47,76,1139,66,55,6,50
31.9,90.0,312,752,834,0,191,1608,270,287,10,29
38.6,88.7,418,941,995,11,214,1796,306,348,10,29
7.1,37.9,26,173,301,63,76,666,77,108,5,66
16.2,35.4,122,462,511,57,122,642,100,205,10,55
1.0,59.8,52,0,326,58,25,574,33,0,1,59
19.9,79.9,157,581,718,26,105,1076,136,181,10,46
12.9,84.3,158,399,598,21,82,902,130,67,8,39
32.8,41.2,363,735,610,16,272,1075,266,386,10,47
30.3,38.3,263,855,590,23,264,1017,257,347,10,53
9.5,80.9,118,248,513,47,53,1132,61,57,4,57
6.7,72.5,84,148,401,37,39,701,30,14,4,53
24.1,64.8,233,677,706,42,154,1032,219,230,10,53
8.9,61.7,48,247,398,38,74,882,79,62,6,61
4.9,77.5,42,120,513,42,43,937,63,37,3,61
11.2,50.6,63,265,427,50,90,837,78,172,9,67
34.8,69.6,333,784,783,1,212,1387,268,311,10,34
16.1,64.3,115,421,488,51,92,1071,111,186,9,62
36.8,88.3,337,910,1091,0,193,1693,282,315,10,42
12.2,38.0,76,258,465,48,118,819,127,143,10,64
14.3,33.7,183,345,387,47,136,689,85,205,10,53
18.5,55.0,192,439,548,41,133,867,128,179,10,45
12.1,41.6,123,282,388,56,100,817,117,139,8,52
14.5,81.1,194,363,531,49,98,1092,96,100,8,57
21.0,73.2,241,607,642,15,147,1075,149,176,10,47
7.3,87.6,82,187,553,47,57,925,84,72,3,46
8.4,66.5,103,242,502,69,53,678,68,60,7,48
6.5,53.5,65,214,285,62,29,498,52,63,7,51
34.3,64.4,303,861,775,29,244,1401,273,387,10,47
30.3,30.1,332,716,560,31,245,809,222,367,10,63
38.2,52.8,403,858,776,16,264,1101,329,458,10,36
16.4,45.7,173,354,436,41,130,688,129,150,10,48
6.2,86.5,52,199,450,50,44,1076,71,50,2,52
25.9,78.1,288,558,814,27,177,1482,232,219,10,37
18.6,34.8,194,493,382,36,137,533,127,256,10,57
22.0,49.7,216,615,586,42,151,1022,154,204,10,54
20.5,47.6,165,466,544,51,145,941,171,263,10,46
2.1,35.4,66,102,147,75,9,227,39,34,2,68
18.0,89.3,183,389,697,39,100,1222,121,154,9,40
15.2,51.6,170,315,584,43,130,665,108,176,10,58
25.4,60.1,226,644,702,48,179,1163,231,221,10,41
22.0,68.1,268,495,618,41,144,1320,190,206,10,56
5.5,50.5,17,42,374,70,29,707,58,72,6,55
16.6,59.6,199,382,466,63,132,1062,145,146,10,62
26.0,71.8,273,636,781,35,173,1077,232,236,10,44
17.9,84.5,130,512,659,23,107,1046,115,118,10,55
30.1,76.6,252,692,888,0,193,1184,252,275,10,32
5.7,75.1,95,99,413,59,23,1041,71,12,3,45
3.0,41.4,0,0,229,84,35,393,30,11,1,69
18.6,88.5,164,432,714,20,120,1302,169,130,10,40
10.1,46.7,142,167,366,57,77,787,58,70,7,67
35.1,47.3,306,924,681,21,263,1070,299,373,10,53
32.0,77.4,306,821,916,27,187,1423,283,315,10,32
25.9,74.6,307,742,688,18,161,1356,221,271,10,50
29.8,45.8,254,717,736,31,243,1124,266,325,10,54
5.4,39.0,31,59,248,91,59,458,49,57,6,57
39.6,72.9,408,1059,1024,0,256,1388,344,397,10,44
33.4,53.7,348,740,724,12,225,1188,296,356,10,44
8.7,45.7,123,208,438,81,50,646,74,83,9,59
24.8,38.7,226,531,628,43,197,836,211,315,10,64
8.4,79.6,104,302,548,38,39,1042,48,68,5,61
3.8,63.2,19,118,442,67,7,821,22,30,3,51
26.4,78.1,281,661,863,14,167,1315,206,267,10,38
24.8,69.7,205,545,702,43,156,1357,198,268,10,41
11.1,52.4,82,351,412,61,93,583,119,122,7,49
21.3,53.9,170,568,658,40,143,894,172,253,10,58
35.4,48.8,383,942,806,25,267,1305,292,435,10,48
14.9,85.7,196,454,688,25,89,1025,137,130,7,52
34.3,59.2,346,860,733,15,248,1100,276,371,10,41
38.5,84.7,421,981,902,7,236,1612,336,328,10,42
23.7,89.3,253,630,714,28,138,1331,198,205,10,33
3.0,80.3,0,119,411,68,5,688,9,77,1,45
18.9,75.6,142,512,654,51,118,1057,154,165,10,55
15.4,89.1,160,335,768,21,73,1367,131,84,8,54
0.2,53.4,14,87,295,76,17,685,4,29,1,61
14.6,40.5,178,320,396,39,116,764,102,176,10,51
16.6,69.0,209,498,619,34,126,918,126,141,10,50
19.4,39.3,217,520,529,60,163,624,133,204,10,50
23.9,69.9,211,624,735,20,157,982,182,199,10,44
24.4,70.2,265,531,648,17,144,1246,192,215,10,43
6.8,46.7,112,161,335,72,36,769,76,82,4,54
1.5,62.5,0,0,310,70,25,570,0,36,3,60
4.1,86.1,47,152,457,55,26,940,3,5,1,43
26.2,62.4,275,722,718,33,186,1335,235,262,10,48
21.5,77.6,237,502,736,15,124,1152,163,197,10,50
15.1,83.0,136,378,568,49,102,1272,138,119,9,52
14.5,53.1,107,352,451,51,105,923,144,128,10,53
18.9,48.5,224,394,498,30,154,1036,145,192,10,57
33.7,71.1,339,833,763,33,226,1450,264,336,10,37
38.6,35.6,401,1021,767,42,334,1249,334,438,10,47
2.5,62.9,25,0,434,76,0,671,13,70,1,54
13.9,66.4,157,423,612,30,79,745,126,181,10,43
27.9,75.9,262,636,767,9,164,1312,202,213,10,45
15.2,50.2,104,430,519,51,131,716,124,171,10,59
12.5,76.9,136,365,620,60,92,902,78,130,7,57
18.8,42.3,194,537,551,67,156,900,134,257,10,63
35.0,31.1,307,851,650,47,283,904,273,493,10,62
22.0,34.2,226,516,403,43,192,608,180,273,10,54
15.2,86.0,137,447,733,48,95,1194,110,86,7,48
18.1,44.8,213,487,447,36,147,846,164,192,10,64
30.0,51.9,335,822,665,11,222,1311,257,338,10,53
35.4,33.6,399,921,699,16,283,917,273,467,10,61
34.5,68.4,383,849,852,31,246,1205,281,321,10,49
21.9,83.5,207,459,792,45,113,1463,170,180,10,49
20.9,89.7,250,489,701,9,97,1258,138,208,10,34
10.6,30.5,72,256,401,62,93,467,113,100,10,59
24.1,77.9,280,585,671,33,163,1116,163,229,10,54
22.7,59.9,252,595,691,48,139,1096,200,204,10,46
7.2,39.6,121,200,239,58,73,376,85,98,6,72
28.0,79.9,270,635,725,16,174,1279,251,247,10,38
16.2,47.3,144,332,506,45,118,635,134,152,10,66
31.7,68.2,358,798,884,4,216,1231,282,347,10,52
1.7,81.6,62,0,342,58,25,922,0,5,2,51
4.7,71.5,42,188,430,74,11,877,66,86,3,60
26.4,56.3,219,634,777,49,189,1003,225,318,10,48
32.4,61.8,342,758,784,10,239,1070,284,334,10,36
8.5,54.1,87,151,491,74,57,520,40,63,7,66
2.1,63.1,58,0,304,68,23,533,12,46,1,61
2.9,82.6,36,65,503,70,6,829,35,12,1,45
25.5,52.0,222,589,579,29,186,938,215,312,10,60
3.1,55.2,37,132,284,83,35,710,36,55,3,70
39.0,57.2,387,915,960,0,264,1492,334,403,10,52
11.8,59.2,162,261,493,61,94,878,107,154,7,55
1.0,41.2,13,26,309,78,15,519,5,0,2,61
19.0,37.4,193,541,532,67,172,629,157,246,10,53
14.1,57.6,100,327,476,46,84,882,97,154,10,51
6.6,65.6,48,236,354,76,38,895,47,91,3,51
17.4,40.6,217,460,545,62,143,783,167,206,10,56
2.2,58.9,65,44,238,75,2,827,2,35,1,68
38.7,84.6,410,1048,1013,15,206,1602,330,355,10,30
26.9,70.8,272,613,703,10,168,1270,213,228,10,48
34.2,82.3,358,894,912,0,214,1449,269,292,10,44
32.0,60.2,340,838,686,35,221,1246,268,288,10,37
13.8,87.1,177,252,636,51,81,1011,100,95,9,49
17.4,44.1,161,460,454,47,131,606,135,209,10,58
16.2,77.5,139,404,707,22,80,975,152,183,10,56
9.2,77.8,52,147,492,56,71,1145,89,90,5,60
21.6,59.2,207,512,604,42,156,958,176,229,10,56
4.6,57.0,0,213,344,70,17,530,66,68,4,52
11.3,37.2,142,289,368,84,86,676,117,143,8,63
26.2,47.3,218,625,702,37,202,1049,215,340,10,54
25.2,86.8,301,602,840,19,156,1427,197,188,10,51
37.0,49.7,397,998,720,17,293,1352,294,454,10,53
17.3,59.9,172,408,643,53,119,905,124,191,10,50
11.0,69.4,79,350,578,56,82,936,60,77,6,44
11.6,77.4,144,263,630,34,82,960,116,112,6,42
15.1,32.0,140,325,365,56,116,724,95,162,10,68
4.1,63.6,78,121,476,63,29,644,13,87,3,60
37.8,47.3,388,907,733,14,297,1299,278,470,10,46
34.9,42.1,346,891,784,32,261,1179,252,429,10,57
21.8,39.1,249,459,534,63,190,794,179,275,10,50
12.3,75.2,77,349,486,48,73,1106,78,131,6,50
10.2,55.6,77,248,393,74,80,870,77,87,5,53
26.0,32.2,212,556,631,32,205,838,186,291,10,50
10.3,53.9,84,266,334,46,85,764,96,111,6,53
16.7,44.6,144,345,555,70,126,692,144,176,10,49
18.1,43.8,156,389,415,46,136,914,150,227,10,63
14.8,37.6,138,286,486,72,137,547,93,144,10,61
21.1,84.3,234,593,692,16,126,1394,193,160,10,41
22.3,79.9,180,594,684,23,149,1137,164,238,10,49
20.3,74.4,192,511,672,19,111,1038,184,179,10,41
28.8,87.4,242,672,923,33,145,1558,236,248,10,35
38.9,64.9,339,961,813,7,280,1365,284,427,10,33
15.3,87.7,181,478,693,45,96,1231,146,95,8,47
9.4,65.6,107,167,406,73,46,827,50,96,8,49
32.1,49.3,331,814,696,25,251,1324,232,349,10,57
1.9,39.1,14,27,226,58,26,572,27,53,2,70
36.3,50.7,362,866,834,21,276,1354,298,437,10,41
0.0,49.0,41,68,230,93,0,495,0,0,1,70
33.2,81.7,364,833,838,4,207,1327,277,309,10,49
1.6,37.2,0,21,197,77,21,577,0,0,1,69
21.2,68.0,253,491,561,33,150,1061,198,223,10,49
2.1,89.7,0,0,389,69,0,989,37,0,1,43
37.3,55.7,347,933,932,35,260,1359,288,448,10,45
14.7,75.1,118,438,547,48,92,1081,136,188,10,58
23.3,72.0,269,529,683,10,146,1118,183,263,10,54
21.0,49.0,171,466,503,38,150,1042,195,223,10,62
2.8,84.8,25,0,451,70,26,969,26,0,3,58
13.6,79.3,161,268,698,49,64,1073,136,129,8,50
5.3,71.0,61,208,427,44,47,862,38,87,4,66
39.9,85.9,386,1084,1056,8,224,1756,337,337,10,31
38.9,33.5,361,982,696,12,342,1244,326,512,10,50
37.9,34.3,416,1014,714,14,313,1206,329,448,10,42
27.5,82.2,284,787,750,5,147,1408,239,253,10,47
21.6,45.2,219,518,488,45,165,808,181,213,10,56
34.3,50.6,336,900,680,27,273,1026,257,405,10,42
21.8,51.3,210,567,489,57,172,1063,166,254,10,52
25.5,63.5,262,701,654,24,189,1146,185,268,10,44
5.6,74.5,25,201,431,52,22,846,23,22,4,63
38.8,34.4,425,973,848,42,328,1134,289,461,10,48
0.6,86.6,0,0,457,46,1,921,5,36,1,56
30.9,80.4,325,712,901,3,192,1234,226,289,10,37
34.8,75.0,366,884,911,0,201,1527,295,327,10,47
10.2,41.7,112,202,357,72,86,680,55,119,6,70
35.4,45.2,322,839,785,17,274,1123,254,391,10,53
30.3,80.8,253,779,903,19,185,1576,235,316,10,50
37.3,33.5,420,957,686,15,311,936,282,450,10,60
17.5,50.7,154,455,495,36,121,810,116,223,10,53
21.3,89.4,262,516,691,25,122,1325,174,217,10,35
34.0,74.8,329,768,873,0,196,1608,294,327,10,44
14.0,85.0,158,404,654,43,84,1221,103,93,7,56
38.0,58.1,343,997,940,19,257,1255,289,437,10,45
2.5,51.3,0,99,337,60,25,520,11,72,1,66
37.6,46.1,333,865,723,39,293,1180,325,462,10,41
31.3,39.6,350,796,574,38,265,885,246,406,10,49
0.4,31.5,2,3,204,66,0,489,21,14,1,73
2.4,68.7,51,49,468,75,5,562,22,0,2,59
16.7,46.2,120,393,476,40,142,644,150,166,10,54
19.7,35.6,152,587,393,59,163,766,184,229,10,63
36.2,30.3,347,987,687,21,294,1103,316,469,10,55
33.8,77.6,296,906,846,0,224,1496,273,340,10,31
23.9,70.2,277,616,787,20,164,1223,204,273,10,51
1.6,53.4,0,0,331,91,19,669,0,16,1,73
8.2,38.2,32,114,288,77,64,406,90,67,5,56
0.8,80.5,43,88,512,72,0,912,0,7,1,56
6.5,82.0,30,90,413,58,46,980,52,27,3,59
19.2,34.8,200,540,483,47,177,579,172,215,10,62
1.8,42.5,15,0,305,95,21,501,39,0,2,70
26.2,70.4,227,739,806,34,188,1264,203,258,10,54
24.1,53.7,225,590,539,20,186,934,188,304,10,43
22.4,72.6,224,469,652,18,146,1222,176,177,10,52
33.9,64.8,365,852,927,32,243,1210,263,304,10,40
21.2,46.7,242,540,457,27,150,848,146,219,10,56
18.2,33.8,154,362,459,49,158,529,163,209,10,52
20.9,70.3,242,544,697,29,118,1172,193,225,10,48
27.0,74.0,253,634,697,28,165,1358,235,293,10,37
10.0,80.5,139,234,454,38,60,1000,58,101,5,45
17.8,32.7,217,528,400,48,164,539,159,180,10,61
20.4,41.1,184,415,464,47,174,799,159,197,10,53
2.4,55.6,0,101,349,72,10,559,33,8,1,72
17.7,66.2,154,430,607,31,137,921,119,174,10,51
32.0,47.5,350,826,618,39,263,1234,284,344,10,48
28.8,38.2,289,644,597,30,232,928,221,328,10,49
22.6,69.8,195,557,610,14,137,1275,159,232,10,49
20.0,70.2,153,581,559,29,132,936,164,150,10,41
3.2,34.9,49,0,283,97,37,524,2,6,3,73
0.1,73.2,14,0,387,54,0,701,10,0,1,61
2.5,53.5,47,0,280,51,30,611,27,59,1,58
2.7,60.9,23,105,320,58,27,615,48,74,1,68
2.4,66.4,71,1,459,72,27,882,21,27,1,53
29.9,37.7,313,747,667,31,237,903,230,383,10,63
33.5,55.0,318,909,724,36,241,1393,294,387,10,57
23.4,66.7,243,671,666,51,159,1215,185,231,10,44
17.9,37.0,131,374,410,71,163,781,161,215,10,68
19.2,68.8,212,527,571,22,115,1134,165,219,10,57
20.5,62.7,242,586,679,41,121,936,176,177,10,51
12.7,77.5,93,258,672,55,66,951,103,97,9,52
1.1,54.6,0,27,355,52,21,602,31,62,3,56
13.2,38.3,89,340,354,55,111,528,124,145,10,72
1.7,65.7,0,141,308,72,19,858,0,16,1,66
17.7,31.2,144,477,363,43,153,656,169,263,10,58
26.9,81.5,248,740,823,0,158,1543,235,225,10,47
15.1,83.2,167,332,583,55,77,1196,129,120,10,54
7.8,32.7,67,175,322,74,77,615,46,68,8,66
36.9,83.0,388,963,976,0,216,1429,315,283,10,29
11.9,65.8,97,333,511,63,61,1045,78,73,8,46
26.3,57.4,214,666,617,19,190,1035,219,238,10,48
37.1,31.4,417,869,684,24,312,880,311,445,10,55
14.3,66.2,116,372,509,48,94,967,129,121,8,46
19.8,58.7,198,432,685,42,128,936,188,177,10,62
2.3,36.8,0,94,167,92,35,284,26,40,1,63
18.9,68.7,202,374,618,56,122,1242,154,222,10,42
39.6,52.9,423,1001,820,34,279,1190,318,453,10,46
11.8,60.8,74,260,518,67,89,811,105,136,8,60
34.5,85.9,342,933,888,0,193,1351,289,309,10,28
30.7,53.2,332,682,783,12,234,986,228,290,10,47
37.1,41.3,381,915,778,41,313,1352,311,479,10,57
19.8,64.6,215,416,692,41,139,905,181,178,10,53
2.6,51.5,2,96,346,69,24,590,9,0,3,56
16.1,59.1,151,377,443,44,106,731,144,198,10,52
18.6,53.1,216,400,580,38,156,967,141,200,10,54
14.1,44.2,159,372,390,67,96,900,136,202,10,62
29.2,59.4,301,733,769,37,206,1083,258,306,10,47
22.5,77.3,258,635,751,12,157,1110,152,229,10,50
10.5,58.0,142,217,404,51,60,595,80,76,6,48
7.7,45.1,108,236,285,61,72,709,47,103,7,60
19.3,78.6,203,395,590,35,134,1169,162,199,10,39
0.8,35.4,0,0,259,91,0,395,18,0,1,77
11.2,89.5,119,186,671,53,78,1113,113,106,7,48
9.9,63.2,57,259,478,56,74,821,82,86,5,57
3.0,67.1,0,12,412,51,26,730,0,51,3,57
23.4,30.8,209,533,447,38,197,946,206,343,10,54
27.6,33.6,304,688,606,47,225,1063,206,335,10,50
8.5,79.1,56,235,613,35,54,793,51,106,7,50
35.7,37.8,341,864,802,37,273,956,269,449,10,53
6.1,66.7,95,105,392,51,48,784,50,103,5,61
22.0,80.7,258,519,672,27,139,1093,198,152,10,36
26.0,69.9,266,638,663,27,150,1376,182,244,10,36
26.8,89.1,252,621,887,34,131,1382,185,252,10,38
11.4,62.1,108,267,479,60,88,860,70,167,7,57
6.8,73.7,63,134,477,33,51,981,57,80,4,55
9.5,86.8,139,152,624,51,50,866,88,128,4,48
17.7,56.8,148,400,631,31,143,896,122,156,10,45
28.5,57.6,320,802,770,26,214,1322,203,352,10,41
8.2,76.6,106,192,587,43,52,946,76,40,4,46
3.6,44.0,0,38,250,83,28,581,38,69,2,71
19.4,33.4,184,542,357,44,149,525,135,195,10,65
20.8,81.3,222,435,755,15,128,1404,158,221,10,52
36.6,32.2,385,892,757,43,307,875,268,489,10,60
18.0,41.4,150,425,511,42,148,760,141,176,10,58
4.9,36.5,72,71,313,88,50,405,56,63,2,73
38.8,86.9,428,1026,1031,2,217,1823,291,363,10,29
1.4,79.6,0,46,495,60,0,719,41,42,1,47
26.1,38.8,212,686,614,33,230,898,199,328,10,52
21.9,53.0,231,531,590,25,177,950,173,210,10,63
20.0,69.9,176,532,681,16,117,1258,136,167,10,52
31.4,71.5,305,841,911,28,209,1535,267,321,10,45
24.9,61.7,290,565,648,50,190,1237,197,233,10,49
14.3,48.1,179,298,477,53,111,953,106,193,10,58
12.9,89.1,164,227,703,47,57,1135,130,64,6,44
12.1,55.2,144,263,392,38,97,885,118,171,9,53
29.6,44.9,291,775,720,21,227,1225,232,378,10,56
17.4,42.0,179,457,456,64,146,742,125,198,10,52
8.1,47.9,52,259,356,54,80,744,53,138,8,64
23.2,64.8,211,503,751,44,144,1107,160,229,10,53
21.6,44.8,186,633,514,37,173,793,197,233,10,46
20.8,84.7,213,592,806,25,121,1112,171,138,10,53
35.2,73.1,381,900,982,25,224,1556,272,319,10,37
22.1,89.0,191,497,696,26,111,1136,205,225,10,52
36.9,44.4,331,910,774,6,283,1064,284,448,10,42
23.5,78.5,241,593,782,30,125,1311,159,243,10,49
27.0,36.3,273,668,635,49,204,782,217,283,10,60
24.5,84.2,253,538,833,15,126,1142,193,181,10,42
8.7,36.5,90,229,300,87,77,535,98,71,8,68
38.1,76.5,347,904,939,0,233,1479,330,390,10,47
38.4,52.7,387,1044,828,0,277,1220,293,396,10,38
5.9,33.7,54,120,268,94,43,514,29,76,4,71
34.6,67.6,370,786,855,8,220,1375,301,297,10,50
5.8,87.2,77,167,587,49,50,1108,25,10,2,42
34.8,60.2,395,815,791,8,259,1420,306,369,10,41
12.6,46.7,144,383,435,57,103,699,86,112,10,66
13.2,56.4,83,429,431,54,79,944,127,160,9,48
36.9,85.9,396,893,962,20,214,1563,306,304,10,39
15.2,37.8,196,352,509,59,127,882,126,139,10,52
39.0,52.7,387,1016,937,10,299,1357,290,388,10,37
33.0,73.4,308,816,913,20,216,1440,268,362,10,37
25.3,35.4,256,650,603,58,224,790,219,294,10,66
0.1,42.4,0,0,241,70,0,304,4,13,1,72
35.3,39.1,352,900,797,31,286,986,270,383,10,53
2.6,52.5,22,74,295,50,15,771,51,70,2,59
4.3,73.7,77,77,433,74,30,694,28,4,3,46
14.3,51.7,95,372,502,45,95,757,120,143,10,48
36.1,59.5,327,917,767,5,258,1254,316,359,10,39
16.4,77.4,156,430,618,22,83,1022,111,180,10,54
36.7,66.3,409,946,900,20,227,1409,322,352,10,36
34.0,89.7,307,933,997,21,191,1383,247,291,10,28
37.4,62.7,342,1029,838,20,268,1233,293,364,10,42
4.3,52.3,87,127,318,55,52,509,33,48,2,68
30.8,82.8,328,746,815,19,167,1453,245,237,10,44
31.2,30.7,286,697,553,40,261,1024,243,420,10,56
16.9,61.0,207,500,497,54,135,1072,145,181,10,51
28.9,59.0,306,692,643,26,184,998,209,294,10,44
37.0,32.6,373,926,656,41,315,1218,325,419,10,48
5.8,56.3,10,99,370,57,29,616,43,105,6,57
3.8,45.0,2,120,278,85,41,648,55,21,4,62
26.0,34.5,243,678,546,48,197,790,212,317,10,52
27.7,56.8,278,746,746,21,198,1301,249,329,10,59
17.6,56.1,148,515,556,26,147,840,111,237,10,55
0.8,44.7,0,0,255,59,0,409,28,43,1,65
23.0,60.3,237,586,745,24,149,1066,173,256,10,58
8.6,55.5,122,160,414,73,64,638,53,96,5,53
0.9,34.3,17,0,116,79,11,260,0,19,2,66
22.9,54.3,196,586,685,25,177,938,153,227,10,51
22.9,53.1,196,519,565,29,159,1121,168,280,10,46
20.2,50.7,224,475,655,41,153,892,179,251,10,55
22.4,32.5,189,509,486,46,182,630,156,262,10,63
36.7,84.5,369,845,963,0,229,1635,273,297,10,42
7.0,44.5,117,141,409,50,36,458,81,110,5,62
22.7,55.3,230,546,571,52,146,1175,158,291,10,54
14.3,62.0,169,300,535,41,105,876,122,105,10,46
4.7,65.7,93,168,498,77,19,657,38,46,2,65
34.3,67.6,328,834,838,21,212,1202,262,317,10,45
21.7,43.7,244,547,625,61,186,755,153,248,10,47
18.2,65.4,192,490,526,53,113,1156,127,141,10,61
19.7,39.3,223,508,543,53,165,797,159,267,10,55
14.7,61.2,102,293,596,59,99,797,95,143,10,53
35.6,46.9,318,867,822,15,254,1116,285,398,10,53
37.0,52.1,401,833,889,30,291,1202,308,420,10,53
39.4,74.5,385,932,1061,8,240,1565,327,385,10,30
16.7,87.5,169,399,769,24,94,1059,139,127,9,42
2.8,70.1,21,47,447,49,11,941,22,33,3,55
28.7,43.0,277,647,653,55,226,1128,216,292,10,58
21.5,80.5,240,512,676,31,142,1055,153,214,10,42
9.3,50.9,135,299,382,69,78,545,95,131,9,68
27.1,87.9,317,691,897,30,134,1423,238,211,10,32
38.8,30.2,379,1008,799,27,310,1119,299,471,10,42
19.7,65.3,159,560,673,47,124,956,134,173,10,44
11.0,89.9,128,336,578,51,58,1068,59,52,7,53
22.3,67.3,225,465,768,40,160,1088,177,243,10,58
26.6,70.9,289,641,660,20,186,1260,225,294,10,42
35.4,71.0,350,861,938,18,244,1411,265,385,10,36
28.8,55.9,285,790,764,14,225,1169,236,360,10,49
14.2,87.0,100,387,743,51,91,1183,134,147,9,49
25.4,65.9,217,549,642,48,177,1244,179,217,10,48
27.3,43.0,230,739,676,18,224,1010,243,293,10,62
23.5,68.7,211,567,661,17,174,1288,204,264,10,57
22.6,57.8,205,660,534,52,148,852,181,209,10,43
34.9,52.6,372,946,699,28,248,1385,288,373,10,52
8.4,66.5,35,150,513,66,40,945,52,38,5,54
35.5,44.6,312,800,832,42,272,1119,277,418,10,40
39.7,75.9,407,936,954,0,232,1634,299,380,10,35
21.1,76.9,225,608,628,26,149,1103,198,222,10,55
20.2,71.7,250,536,659,28,149,1154,188,238,10,57
5.7,67.0,46,57,375,57,19,970,58,42,4,57
32.6,56.0,357,732,805,17,216,1405,255,383,10,46
13.1,50.7,171,241,447,58,108,676,89,105,10,61
30.5,56.7,316,770,794,43,235,1081,233,376,10,41
21.7,59.2,209,450,662,18,170,1011,191,202,10,51
1.8,64.3,21,100,313,52,23,672,40,38,3,59
0.9,85.6,28,100,411,56,25,699,34,38,1,63
32.8,64.3,377,813,799,33,213,1450,259,318,10,48
31.3,81.4,314,755,920,7,180,1284,237,231,10,32
21.8,64.9,198,542,609,21,145,1033,166,197,10,50
11.8,70.4,108,256,611,50,85,1067,76,106,6,56
4.6,37.4,5,188,230,83,26,320,12,23,5,57
16.9,47.3,152,388,405,50,141,877,137,218,10,67
28.1,82.6,325,790,836,36,167,1585,234,217,10,33
9.3,34.3,117,251,324,77,78,483,86,76,6,58
17.0,42.6,179,456,427,57,115,881,151,192,10,66
8.1,77.4,117,143,488,38,54,1130,80,63,3,45
14.9,35.9,156,312,460,65,119,819,126,148,10,60
5.4,51.3,31,96,302,81,42,515,39,93,4,66
32.6,65.8,281,818,788,35,232,1120,269,372,10,50
21.0,89.7,246,502,729,22,133,1462,195,173,10,45
6.3,45.2,86,255,420,53,61,615,42,43,6,73
12.4,74.9,171,320,615,57,85,1127,76,150,7,46
26.3,30.1,243,578,452,36,210,827,213,302,10,51
33.5,60.6,340,931,899,20,239,1109,268,326,10,48
15.6,60.6,123,299,517,44,113,727,120,207,10,56
26.2,33.7,309,599,588,52,201,1028,235,284,10,59
31.4,88.3,314,787,860,13,184,1616,235,245,10,33
39.6,81.7,416,1089,1049,0,229,1440,313,345,10,29
23.3,71.8,210,557,639,29,130,1213,196,220,10,55
4.6,80.0,48,158,438,58,22,1064,9,81,2,56
22.4,54.3,231,466,541,49,155,1179,165,201,10,58
