ID,Latitude,Longitude,Elevation,Distance from Equator (km),Hemisphere,Terrain Type,Population Density,Climate Zone,Water Proximity (km),Urban/Rural,Natural Risk Zone
268,43.676882,151.894075,3546,4848.13,Northern,Forest,179,Arid,156,Urban,Extreme
269,-24.697407,-121.474729,2649,2741.41,Southern,Coastal,317,Polar,198,Urban,Extreme
270,-21.112452,76.593854,2439,2343.48,Southern,Desert,590,Polar,160,Rural,Medium
271,0.958599,-97.923470,5118,106.40,Northern,Desert,926,Tropical,327,Rural,High
272,75.444140,-54.032817,4485,8374.30,Northern,Plains,340,Tropical,893,Urban,Medium
273,48.154843,-104.809502,2945,5345.19,Northern,Coastal,51,Tropical,757,Rural,Extreme
274,38.396084,95.203765,2381,4261.97,Northern,Coastal,855,Arid,659,Rural,Low
275,49.922375,166.612478,5741,5541.38,Northern,Wetland,544,Temperate,83,Rural,High
276,31.435172,81.005782,1482,3489.30,Northern,Desert,942,Temperate,767,Rural,Low
277,-17.121066,-58.431125,327,1900.44,Southern,Coastal,935,Mediterranean,918,Urban,Extreme
278,28.280866,-58.629560,3794,3139.18,Northern,Coastal,115,Continental,804,Rural,Extreme
279,-77.780875,153.774824,8521,8633.68,Southern,Plains,918,Polar,811,Urban,Extreme
280,16.921705,-17.712616,2654,1878.31,Northern,Wetland,877,Mediterranean,733,Rural,Extreme
281,10.437772,27.590827,7257,1158.59,Northern,Desert,703,Tropical,740,Rural,High
282,-14.499707,-104.882317,1682,1609.47,Southern,Coastal,662,Continental,363,Urban,Low
283,-2.102238,-123.637157,5286,233.35,Southern,Forest,402,Mediterranean,940,Rural,Low
284,68.886692,-141.711967,4284,7646.42,Northern,Plains,814,Temperate,691,Rural,Medium
285,74.461389,124.129213,3288,8265.21,Northern,Desert,545,Mediterranean,265,Urban,High
286,57.744288,-171.185773,4241,6409.62,Northern,Plains,221,Tropical,515,Rural,Low
287,18.325169,148.474317,3096,2034.09,Northern,Coastal,17,Temperate,748,Rural,High
288,-62.085559,152.854342,17,6891.50,Southern,Mountain,215,Mediterranean,222,Rural,High
289,-62.261397,-54.855423,8620,6911.02,Southern,Coastal,591,Polar,550,Rural,High
290,-26.717537,-90.503527,4155,2965.65,Southern,Desert,959,Mediterranean,29,Rural,High
291,72.836934,53.383461,2059,8084.90,Northern,Desert,760,Arid,641,Rural,Low
292,73.510417,-174.994873,655,8159.66,Northern,Coastal,650,Temperate,433,Rural,Medium
293,66.938429,-150.045109,7565,7430.17,Northern,Mountain,966,Temperate,130,Urban,Extreme
294,5.051986,114.075104,1235,560.77,Northern,Forest,877,Temperate,510,Urban,High
295,13.775072,110.524468,7682,1529.03,Northern,Mountain,733,Tropical,631,Urban,Medium
296,75.663108,-175.297133,4783,8398.60,Northern,Mountain,421,Tropical,133,Urban,Extreme
297,-55.542582,45.437407,4918,6165.23,Southern,Plains,342,Polar,687,Rural,Medium
298,-16.132410,52.725732,1817,1790.70,Southern,Desert,75,Arid,358,Rural,High
299,-43.303992,-68.973948,3820,4806.74,Southern,Forest,697,Tropical,305,Urban,Medium
300,44.150431,-38.457782,8486,4900.70,Northern,Forest,127,Temperate,531,Urban,Medium
301,6.611131,19.500959,3131,733.84,Northern,Mountain,91,Tropical,83,Rural,Extreme
302,52.347565,124.005895,3211,5810.58,Northern,Mountain,142,Temperate,348,Rural,Extreme
303,25.589333,-3.459748,168,2840.42,Northern,Forest,914,Arid,827,Rural,Low
