ID,Value,Squared,Cubed,Square Root,Natural Log,Sine,Cosine,Is Even
75,36,5625,421875,8.660,4.317,-0.388,0.922,false
76,85,5776,438976,8.718,4.331,0.566,0.824,true
77,13,5929,456533,8.775,4.344,1.000,-0.031,false
78,36,6084,474552,8.832,4.357,0.514,-0.858,true
79,35,6241,493039,8.888,4.369,-0.444,-0.896,false
80,47,6400,512000,8.944,4.382,-0.994,-0.110,true
81,38,6561,531441,9.000,4.394,-0.630,0.777,false
82,27,6724,551368,9.055,4.407,0.313,0.950,true
83,47,6889,571787,9.110,4.419,0.968,0.250,false
84,85,7056,592704,9.165,4.431,0.733,-0.680,true
85,12,7225,614125,9.220,4.443,-0.176,-0.984,false
86,71,7396,636056,9.274,4.454,-0.923,-0.384,true
87,59,7569,658503,9.327,4.466,-0.822,0.570,false
88,37,7744,681472,9.381,4.477,0.035,0.999,true
89,36,7921,704969,9.434,4.489,0.860,0.510,false
90,48,8100,729000,9.487,4.500,0.894,-0.448,true
91,64,8281,753571,9.539,4.511,0.106,-0.994,false
92,99,8464,778688,9.592,4.522,-0.779,-0.626,true
93,28,8649,804357,9.644,4.533,-0.948,0.317,false
94,39,8836,830584,9.695,4.543,-0.245,0.969,true
95,67,9025,857375,9.747,4.554,0.683,0.730,false
96,54,9216,884736,9.798,4.564,0.984,-0.180,true
97,99,9409,912673,9.849,4.575,0.380,-0.925,false
98,92,9604,941192,9.899,4.585,-0.573,-0.819,true
99,31,9801,970299,9.950,4.595,-0.999,0.040,false
100,36,10000,1000000,10.000,4.605,-0.506,0.862,true
101,10,10201,1030301,10.050,4.615,0.452,0.892,false
102,31,10404,1061208,10.100,4.625,0.995,0.102,true
103,51,10609,1092727,10.149,4.635,0.623,-0.782,false
104,62,10816,1124864,10.198,4.644,-0.322,-0.947,true
105,92,11025,1157625,10.247,4.654,-0.971,-0.241,false
106,90,11236,1191016,10.296,4.663,-0.727,0.686,true
107,9,11449,1225043,10.344,4.673,0.185,0.983,false
108,66,11664,1259712,10.392,4.682,0.927,0.376,true
109,16,11881,1295029,10.440,4.691,0.817,-0.577,false
110,100,12100,1331000,10.488,4.700,-0.044,-0.999,true
111,76,12321,1367631,10.536,4.710,-0.865,-0.503,false
112,94,12544,1404928,10.583,4.718,-0.890,0.456,true
113,62,12769,1442897,10.630,4.727,-0.097,0.995,false
114,45,12996,1481544,10.677,4.736,0.785,0.620,true
115,11,13225,1520875,10.724,4.745,0.945,-0.326,false
116,93,13456,1560896,10.770,4.754,0.237,-0.972,true
117,45,13689,1601613,10.817,4.762,-0.690,-0.724,false
118,38,13924,1643032,10.863,4.771,-0.982,0.189,true
119,46,14161,1685159,10.909,4.779,-0.371,0.928,false
120,73,14400,1728000,10.954,4.787,0.581,0.814,true
121,71,14641,1771561,11.000,4.796,0.999,-0.049,false
122,92,14884,1815848,11.045,4.804,0.499,-0.867,true
123,71,15129,1860867,11.091,4.812,-0.460,-0.888,false
124,93,15376,1906624,11.136,4.820,-0.996,-0.093,true
125,60,15625,1953125,11.180,4.828,-0.616,0.788,false
126,15,15876,2000376,11.225,4.836,0.330,0.944,true
127,16,16129,2048383,11.269,4.844,0.973,0.232,false
128,94,16384,2097152,11.314,4.852,0.721,-0.693,true
129,11,16641,2146689,11.358,4.860,-0.193,-0.981,false
130,14,16900,2197000,11.402,4.868,-0.930,-0.367,true
131,24,17161,2248091,11.446,4.875,-0.812,0.584,false
132,42,17424,2299968,11.489,4.883,0.053,0.999,true
133,7,17689,2352637,11.533,4.890,0.869,0.495,false
134,16,17956,2406104,11.576,4.898,0.886,-0.464,true
135,40,18225,2460375,11.619,4.905,0.088,-0.996,false
136,62,18496,2515456,11.662,4.913,-0.790,-0.613,true
137,80,18769,2571353,11.705,4.920,-0.943,0.334,false
138,17,19044,2628072,11.747,4.927,-0.228,0.974,true
139,81,19321,2685619,11.790,4.934,0.696,0.718,false
140,33,19600,2744000,11.832,4.942,0.980,-0.198,true
141,25,19881,2803221,11.874,4.949,0.363,-0.932,false
142,36,20164,2863288,11.916,4.956,-0.588,-0.809,true
143,76,20449,2924207,11.958,4.963,-0.998,0.058,false
144,33,20736,2985984,12.000,4.970,-0.491,0.871,true
145,43,21025,3048625,12.042,4.977,0.468,0.884,false
146,89,21316,3112136,12.083,4.984,0.996,0.084,true
147,72,21609,3176523,12.124,4.990,0.609,-0.793,false
148,51,21904,3241792,12.166,4.997,-0.338,-0.941,true
149,21,22201,3307949,12.207,5.004,-0.975,-0.224,false
150,79,22500,3375000,12.247,5.011,-0.715,0.699,true
151,86,22801,3442951,12.288,5.017,0.202,0.979,false
152,51,23104,3511808,12.329,5.024,0.933,0.359,true
153,39,23409,3581577,12.369,5.030,0.806,-0.591,false
154,59,23716,3652264,12.410,5.037,-0.062,-0.998,true
155,25,24025,3723875,12.450,5.043,-0.873,-0.487,false
156,54,24336,3796416,12.490,5.050,-0.882,0.472,true
157,54,24649,3869893,12.530,5.056,-0.080,0.997,false
158,22,24964,3944312,12.570,5.063,0.796,0.606,true
159,79,25281,4019679,12.610,5.069,0.940,-0.342,false
160,52,25600,4096000,12.649,5.075,0.219,-0.976,true
161,57,25921,4173281,12.689,5.081,-0.702,-0.712,false
162,34,26244,4251528,12.728,5.088,-0.978,0.206,true
163,16,26569,4330747,12.767,5.094,-0.355,0.935,false
164,54,26896,4410944,12.806,5.100,0.595,0.804,true
165,41,27225,4492125,12.845,5.106,0.998,-0.066,false
166,38,27556,4574296,12.884,5.112,0.483,-0.875,true
167,9,27889,4657463,12.923,5.118,-0.476,-0.880,false
168,80,28224,4741632,12.961,5.124,-0.997,-0.075,true
169,72,28561,4826809,13.000,5.130,-0.602,0.798,false
170,1,28900,4913000,13.038,5.136,0.347,0.938,true
171,3,29241,5000211,13.077,5.142,0.977,0.215,false
172,86,29584,5088448,13.115,5.147,0.709,-0.706,true
173,11,29929,5177717,13.153,5.153,-0.211,-0.978,false
174,95,30276,5268024,13.191,5.159,-0.936,-0.351,true
175,60,30625,5359375,13.229,5.165,-0.801,0.598,false
176,99,30976,5451776,13.266,5.170,0.071,0.997,true
177,44,31329,5545233,13.304,5.176,0.878,0.479,false
178,11,31684,5639752,13.342,5.182,0.878,-0.479,true
179,96,32041,5735339,13.379,5.187,0.071,-0.997,false
180,68,32400,5832000,13.416,5.193,-0.801,-0.598,true
181,35,32761,5929741,13.454,5.198,-0.936,0.351,false
182,98,33124,6028568,13.491,5.204,-0.211,0.978,true
183,32,33489,6128487,13.528,5.209,0.709,0.706,false
184,61,33856,6229504,13.565,5.215,0.977,-0.215,true
185,93,34225,6331625,13.601,5.220,0.347,-0.938,false
186,8,34596,6434856,13.638,5.226,-0.602,-0.798,true
187,89,34969,6539203,13.675,5.231,-0.997,0.075,false
188,12,35344,6644672,13.711,5.236,-0.476,0.880,true
189,98,35721,6751269,13.748,5.242,0.483,0.875,false
190,86,36100,6859000,13.784,5.247,0.998,0.066,true
191,100,36481,6967871,13.820,5.252,0.595,-0.804,false
192,94,36864,7077888,13.856,5.257,-0.355,-0.935,true
193,57,37249,7189057,13.892,5.263,-0.978,-0.206,false
194,48,37636,7301384,13.928,5.268,-0.702,0.712,true
195,72,38025,7414875,13.964,5.273,0.219,0.976,false
196,8,38416,7529536,14.000,5.278,0.940,0.342,true
197,16,38809,7645373,14.036,5.283,0.796,-0.606,false
198,96,39204,7762392,14.071,5.288,-0.080,-0.997,true
199,68,39601,7880599,14.107,5.293,-0.882,-0.472,false
200,11,40000,8000000,14.142,5.298,-0.873,0.487,true
201,45,40401,8120601,14.177,5.303,-0.062,0.998,false
202,71,40804,8242408,14.213,5.308,0.806,0.591,true
203,87,41209,8365427,14.248,5.313,0.933,-0.359,false
204,57,41616,8489664,14.283,5.318,0.202,-0.979,true
205,30,42025,8615125,14.318,5.323,-0.715,-0.699,false
206,96,42436,8741816,14.353,5.328,-0.975,0.224,true
207,80,42849,8869743,14.387,5.333,-0.338,0.941,false
208,61,43264,8998912,14.422,5.338,0.609,0.793,true
209,68,43681,9129329,14.457,5.342,0.996,-0.084,false
210,9,44100,9261000,14.491,5.347,0.468,-0.884,true
211,99,44521,9393931,14.526,5.352,-0.491,-0.871,false
212,44,44944,9528128,14.560,5.357,-0.998,-0.057,true
213,41,45369,9663597,14.595,5.361,-0.588,0.809,false
214,94,45796,9800344,14.629,5.366,0.363,0.932,true
215,78,46225,9938375,14.663,5.371,0.980,0.198,false
216,26,46656,10077696,14.697,5.375,0.696,-0.718,true
217,47,47089,10218313,14.731,5.380,-0.228,-0.974,false
218,27,47524,10360232,14.765,5.384,-0.943,-0.334,true
219,86,47961,10503459,14.799,5.389,-0.790,0.613,false
220,15,48400,10648000,14.832,5.394,0.088,0.996,true
221,62,48841,10793861,14.866,5.398,0.886,0.464,false
222,46,49284,10941048,14.900,5.403,0.869,-0.495,true
223,71,49729,11089567,14.933,5.407,0.053,-0.999,false
224,78,50176,11239424,14.967,5.412,-0.812,-0.584,true
225,75,50625,11390625,15.000,5.416,-0.930,0.367,false
226,48,51076,11543176,15.033,5.421,-0.193,0.981,true
227,62,51529,11697083,15.067,5.425,0.721,0.693,false
228,28,51984,11852352,15.100,5.429,0.973,-0.232,true
229,81,52441,12008989,15.133,5.434,0.330,-0.944,false
230,3,52900,12167000,15.166,5.438,-0.616,-0.788,true
231,34,53361,12326391,15.199,5.442,-0.996,0.093,false
232,100,53824,12487168,15.232,5.447,-0.460,0.888,true
233,31,54289,12649337,15.264,5.451,0.499,0.867,false
234,16,54756,12812904,15.297,5.455,0.999,0.049,true
235,97,55225,12977875,15.330,5.460,0.581,-0.814,false
236,33,55696,13144256,15.362,5.464,-0.371,-0.928,true
237,84,56169,13312053,15.395,5.468,-0.982,-0.189,false
238,67,56644,13481272,15.427,5.472,-0.690,0.724,true
239,38,57121,13651919,15.460,5.476,0.237,0.972,false
240,1,57600,13824000,15.492,5.481,0.945,0.326,true
241,55,58081,13997521,15.524,5.485,0.785,-0.620,false
242,27,58564,14172488,15.556,5.489,-0.097,-0.995,true
243,33,59049,14348907,15.588,5.493,-0.890,-0.456,false
244,52,59536,14526784,15.620,5.497,-0.865,0.503,true
245,58,60025,14706125,15.652,5.501,-0.044,0.999,false
246,96,60516,14886936,15.684,5.505,0.817,0.577,true
247,32,61009,15069223,15.716,5.509,0.927,-0.376,false
248,37,61504,15252992,15.748,5.513,0.185,-0.983,true
249,31,62001,15438249,15.780,5.517,-0.727,-0.686,false
250,47,62500,15625000,15.811,5.521,-0.971,0.241,true
251,85,63001,15813251,15.843,5.525,-0.322,0.947,false
252,86,63504,16003008,15.875,5.529,0.623,0.782,true
253,22,64009,16194277,15.906,5.533,0.995,-0.102,false
254,90,64516,16387064,15.937,5.537,0.452,-0.892,true
255,17,65025,16581375,15.969,5.541,-0.506,-0.862,false
256,37,65536,16777216,16.000,5.545,-0.999,-0.040,true
257,64,66049,16974593,16.031,5.549,-0.573,0.819,false
258,30,66564,17173512,16.062,5.553,0.380,0.925,true
259,32,67081,17373979,16.093,5.557,0.984,0.180,false
260,43,67600,17576000,16.125,5.561,0.683,-0.730,true
261,42,68121,17779581,16.155,5.565,-0.245,-0.969,false
262,99,68644,17984728,16.186,5.568,-0.948,-0.317,true
263,30,69169,18191447,16.217,5.572,-0.779,0.626,false
264,4,69696,18399744,16.248,5.576,0.106,0.994,true
265,53,70225,18609625,16.279,5.580,0.894,0.448,false
266,68,70756,18821096,16.310,5.583,0.860,-0.510,true
267,74,71289,19034163,16.340,5.587,0.035,-0.999,false
268,9,71824,19248832,16.371,5.591,-0.822,-0.570,true
269,76,72361,19465109,16.401,5.595,-0.923,0.384,false
270,64,72900,19683000,16.432,5.598,-0.176,0.984,true
271,76,73441,19902511,16.462,5.602,0.733,0.680,false
272,79,73984,20123648,16.492,5.606,0.968,-0.250,true
273,35,74529,20346417,16.523,5.609,0.313,-0.950,false
274,75,75076,20570824,16.553,5.613,-0.630,-0.777,true
275,89,75625,20796875,16.583,5.617,-0.994,0.110,false
276,24,76176,21024576,16.613,5.620,-0.444,0.896,true
277,97,76729,21253933,16.643,5.624,0.514,0.858,false
278,11,77284,21484952,16.673,5.628,1.000,0.031,true
279,77,77841,21717639,16.703,5.631,0.566,-0.824,false
280,54,78400,21952000,16.733,5.635,-0.388,-0.922,true
281,34,78961,22188041,16.763,5.638,-0.985,-0.172,false
282,3,79524,22425768,16.793,5.642,-0.677,0.736,true
283,42,80089,22665187,16.823,5.645,0.254,0.967,false
284,11,80656,22906304,16.852,5.649,0.951,0.309,true
285,66,81225,23149125,16.882,5.652,0.774,-0.633,false
286,55,81796,23393656,16.912,5.656,-0.115,-0.993,true
287,35,82369,23639903,16.941,5.659,-0.898,-0.440,false
288,100,82944,23887872,16.971,5.663,-0.856,0.518,true
289,52,83521,24137569,17.000,5.666,-0.027,1.000,false
290,44,84100,24389000,17.029,5.670,0.827,0.562,true
291,90,84681,24642171,17.059,5.673,0.920,-0.392,false
292,10,85264,24897088,17.088,5.677,0.167,-0.986,true
293,85,85849,25153757,17.117,5.680,-0.739,-0.673,false
294,18,86436,25412184,17.146,5.684,-0.966,0.258,true
295,90,87025,25672375,17.176,5.687,-0.305,0.952,false
296,100,87616,25934336,17.205,5.690,0.637,0.771,true
297,9,88209,26198073,17.234,5.694,0.993,-0.119,false
298,90,88804,26463592,17.263,5.697,0.436,-0.900,true
299,41,89401,26730899,17.292,5.700,-0.522,-0.853,false
300,30,90000,27000000,17.321,5.704,-1.000,-0.022,true
301,64,90601,27270901,17.349,5.707,-0.559,0.829,false
302,16,91204,27543608,17.378,5.710,0.396,0.918,true
303,40,91809,27818127,17.407,5.714,0.987,0.163,false
304,13,92416,28094464,17.436,5.717,0.670,-0.742,true
305,74,93025,28372625,17.464,5.720,-0.262,-0.965,false
306,30,93636,28652616,17.493,5.724,-0.954,-0.301,true
307,73,94249,28934443,17.521,5.727,-0.768,0.640,false
308,4,94864,29218112,17.550,5.730,0.124,0.992,true
309,33,95481,29503629,17.578,5.733,0.902,0.432,false
310,48,96100,29791000,17.607,5.737,0.851,-0.525,true
311,34,96721,30080231,17.635,5.740,0.018,-1.000,false
312,35,97344,30371328,17.664,5.743,-0.832,-0.555,true
313,2,97969,30664297,17.692,5.746,-0.917,0.400,false
314,64,98596,30959144,17.720,5.749,-0.159,0.987,true
315,72,99225,31255875,17.748,5.753,0.745,0.667,false
316,21,99856,31554496,17.776,5.756,0.964,-0.267,true
317,30,100489,31855013,17.804,5.759,0.296,-0.955,false
318,12,101124,32157432,17.833,5.762,-0.644,-0.765,true
319,5,101761,32461759,17.861,5.765,-0.992,0.128,false
320,82,102400,32768000,17.889,5.768,-0.428,0.904,true
321,22,103041,33076161,17.916,5.771,0.529,0.849,false
322,7,103684,33386248,17.944,5.775,1.000,0.013,true
323,83,104329,33698267,17.972,5.778,0.551,-0.834,false
324,82,104976,34012224,18.000,5.781,-0.404,-0.915,true
325,42,105625,34328125,18.028,5.784,-0.988,-0.154,false
326,33,106276,34645976,18.055,5.787,-0.664,0.748,true
327,48,106929,34965783,18.083,5.790,0.271,0.963,false
328,50,107584,35287552,18.111,5.793,0.956,0.292,true
329,47,108241,35611289,18.138,5.796,0.763,-0.647,false
330,53,108900,35937000,18.166,5.799,-0.132,-0.991,true
331,83,109561,36264691,18.193,5.802,-0.906,-0.424,false
332,50,110224,36594368,18.221,5.805,-0.846,0.533,true
333,14,110889,36926037,18.248,5.808,-0.009,1.000,false
334,6,111556,37259704,18.276,5.811,0.837,0.548,true
335,3,112225,37595375,18.303,5.814,0.913,-0.408,false
336,7,112896,37933056,18.330,5.817,0.150,-0.989,true
337,74,113569,38272753,18.358,5.820,-0.751,-0.660,false
338,9,114244,38614472,18.385,5.823,-0.961,0.275,true
339,1,114921,38958219,18.412,5.826,-0.288,0.958,false
340,2,115600,39304000,18.439,5.829,0.650,0.760,true
341,95,116281,39651821,18.466,5.832,0.991,-0.137,false
342,7,116964,40001688,18.493,5.835,0.420,-0.907,true
343,50,117649,40353607,18.520,5.838,-0.537,-0.844,false
344,55,118336,40707584,18.547,5.841,-1.000,-0.004,true
345,99,119025,41063625,18.574,5.844,-0.544,0.839,false
346,3,119716,41421736,18.601,5.846,0.412,0.911,true
347,24,120409,41781923,18.628,5.849,0.989,0.145,false
348,16,121104,42144192,18.655,5.852,0.657,-0.754,true
349,49,121801,42508549,18.682,5.855,-0.279,-0.960,false
350,26,122500,42875000,18.708,5.858,-0.959,-0.284,true
351,6,123201,43243551,18.735,5.861,-0.757,0.654,false
352,88,123904,43614208,18.762,5.864,0.141,0.990,true
353,85,124609,43986977,18.788,5.866,0.909,0.416,false
354,14,125316,44361864,18.815,5.869,0.841,-0.540,true
355,84,126025,44738875,18.841,5.872,-0.000,-1.000,false
356,18,126736,45118016,18.868,5.875,-0.841,-0.540,true
357,67,127449,45499293,18.894,5.878,-0.909,0.416,false
358,97,128164,45882712,18.921,5.881,-0.141,0.990,true
359,65,128881,46268279,18.947,5.883,0.757,0.654,false
360,28,129600,46656000,18.974,5.886,0.959,-0.284,true
361,85,130321,47045881,19.000,5.889,0.279,-0.960,false
362,21,131044,47437928,19.026,5.892,-0.657,-0.754,true
363,44,131769,47832147,19.053,5.894,-0.989,0.146,false
364,6,132496,48228544,19.079,5.897,-0.412,0.911,true
365,52,133225,48627125,19.105,5.900,0.544,0.839,false
366,63,133956,49027896,19.131,5.903,1.000,-0.004,true
367,30,134689,49430863,19.157,5.905,0.537,-0.844,false
368,43,135424,49836032,19.183,5.908,-0.420,-0.907,true
369,47,136161,50243409,19.209,5.911,-0.991,-0.137,false
370,24,136900,50653000,19.235,5.914,-0.650,0.760,true
371,25,137641,51064811,19.261,5.916,0.288,0.958,false
372,18,138384,51478848,19.287,5.919,0.961,0.275,true
373,7,139129,51895117,19.313,5.922,0.751,-0.660,false
374,21,139876,52313624,19.339,5.924,-0.150,-0.989,true
375,68,140625,52734375,19.365,5.927,-0.913,-0.408,false
376,46,141376,53157376,19.391,5.930,-0.837,0.548,true
377,16,142129,53582633,19.416,5.932,0.009,1.000,false
378,10,142884,54010152,19.442,5.935,0.846,0.533,true
379,64,143641,54439939,19.468,5.938,0.906,-0.424,false
380,58,144400,54872000,19.494,5.940,0.132,-0.991,true
381,51,145161,55306341,19.519,5.943,-0.763,-0.647,false
382,75,145924,55742968,19.545,5.945,-0.956,0.292,true
383,1,146689,56181887,19.570,5.948,-0.271,0.963,false
384,100,147456,56623104,19.596,5.951,0.664,0.748,true
385,70,148225,57066625,19.621,5.953,0.988,-0.154,false
386,1,148996,57512456,19.647,5.956,0.404,-0.915,true
387,97,149769,57960603,19.672,5.958,-0.551,-0.834,false
388,21,150544,58411072,19.698,5.961,-1.000,0.013,true
389,82,151321,58863869,19.723,5.964,-0.529,0.849,false
390,9,152100,59319000,19.748,5.966,0.428,0.904,true
391,94,152881,59776471,19.774,5.969,0.992,0.128,false
392,9,153664,60236288,19.799,5.971,0.644,-0.765,true
393,74,154449,60698457,19.824,5.974,-0.296,-0.955,false
394,37,155236,61162984,19.849,5.976,-0.964,-0.267,true
395,41,156025,61629875,19.875,5.979,-0.745,0.667,false
396,67,156816,62099136,19.900,5.981,0.159,0.987,true
397,42,157609,62570773,19.925,5.984,0.917,0.400,false
398,83,158404,63044792,19.950,5.986,0.832,-0.555,true
399,42,159201,63521199,19.975,5.989,-0.018,-1.000,false
400,16,160000,64000000,20.000,5.991,-0.851,-0.525,true
401,16,160801,64481201,20.025,5.994,-0.902,0.432,false
402,77,161604,64964808,20.050,5.996,-0.124,0.992,true
403,37,162409,65450827,20.075,5.999,0.768,0.640,false
404,14,163216,65939264,20.100,6.001,0.954,-0.301,true
405,8,164025,66430125,20.125,6.004,0.262,-0.965,false
406,29,164836,66923416,20.149,6.006,-0.670,-0.742,true
407,70,165649,67419143,20.174,6.009,-0.987,0.163,false
408,75,166464,67917312,20.199,6.011,-0.396,0.918,true
409,46,167281,68417929,20.224,6.014,0.559,0.829,false
410,24,168100,68921000,20.248,6.016,1.000,-0.022,true
411,99,168921,69426531,20.273,6.019,0.522,-0.853,false
412,27,169744,69934528,20.298,6.021,-0.436,-0.900,true
413,25,170569,70444997,20.322,6.023,-0.993,-0.119,false
414,80,171396,70957944,20.347,6.026,-0.637,0.771,true
415,84,172225,71473375,20.372,6.028,0.305,0.952,false
416,34,173056,71991296,20.396,6.031,0.966,0.258,true
417,13,173889,72511713,20.421,6.033,0.739,-0.674,false
418,15,174724,73034632,20.445,6.035,-0.167,-0.986,true
419,11,175561,73560059,20.469,6.038,-0.920,-0.392,false
420,70,176400,74088000,20.494,6.040,-0.827,0.562,true
421,82,177241,74618461,20.518,6.043,0.027,1.000,false
422,70,178084,75151448,20.543,6.045,0.856,0.518,true
423,36,178929,75686967,20.567,6.047,0.898,-0.440,false
424,90,179776,76225024,20.591,6.050,0.115,-0.993,true
425,19,180625,76765625,20.616,6.052,-0.774,-0.633,false
426,10,181476,77308776,20.640,6.054,-0.951,0.309,true
427,70,182329,77854483,20.664,6.057,-0.254,0.967,false
428,81,183184,78402752,20.688,6.059,0.677,0.736,true
429,29,184041,78953589,20.712,6.061,0.985,-0.172,false
430,34,184900,79507000,20.736,6.064,0.388,-0.922,true
431,73,185761,80062991,20.761,6.066,-0.566,-0.824,false
432,68,186624,80621568,20.785,6.068,-1.000,0.031,true
433,75,187489,81182737,20.809,6.071,-0.514,0.858,false
434,68,188356,81746504,20.833,6.073,0.444,0.896,true
435,43,189225,82312875,20.857,6.075,0.994,0.110,false
436,43,190096,82881856,20.881,6.078,0.630,-0.777,true
437,90,190969,83453453,20.905,6.080,-0.313,-0.950,false
438,95,191844,84027672,20.928,6.082,-0.968,-0.250,true
439,96,192721,84604519,20.952,6.084,-0.733,0.680,false
440,80,193600,85184000,20.976,6.087,0.176,0.984,true
441,13,194481,85766121,21.000,6.089,0.923,0.384,false
442,6,195364,86350888,21.024,6.091,0.822,-0.570,true
443,91,196249,86938307,21.048,6.094,-0.035,-0.999,false
444,77,197136,87528384,21.071,6.096,-0.860,-0.510,true
445,88,198025,88121125,21.095,6.098,-0.894,0.448,false
446,22,198916,88716536,21.119,6.100,-0.106,0.994,true
447,55,199809,89314623,21.142,6.103,0.779,0.626,false
448,17,200704,89915392,21.166,6.105,0.948,-0.317,true
449,20,201601,90518849,21.190,6.107,0.245,-0.969,false
450,23,202500,91125000,21.213,6.109,-0.683,-0.730,true
451,67,203401,91733851,21.237,6.111,-0.984,0.180,false
452,78,204304,92345408,21.260,6.114,-0.380,0.925,true
453,79,205209,92959677,21.284,6.116,0.573,0.819,false
454,61,206116,93576664,21.307,6.118,0.999,-0.040,true
455,92,207025,94196375,21.331,6.120,0.506,-0.862,false
456,54,207936,94818816,21.354,6.122,-0.452,-0.892,true
457,79,208849,95443993,21.378,6.125,-0.995,-0.102,false
458,64,209764,96071912,21.401,6.127,-0.623,0.782,true
459,49,210681,96702579,21.424,6.129,0.322,0.947,false
460,17,211600,97336000,21.448,6.131,0.971,0.241,true
461,70,212521,97972181,21.471,6.133,0.727,-0.687,false
462,75,213444,98611128,21.494,6.136,-0.185,-0.983,true
463,98,214369,99252847,21.517,6.138,-0.927,-0.375,false
464,46,215296,99897344,21.541,6.140,-0.817,0.577,true
465,78,216225,100544625,21.564,6.142,0.044,0.999,false
466,69,217156,101194696,21.587,6.144,0.865,0.503,true
467,73,218089,101847563,21.610,6.146,0.890,-0.456,false
468,17,219024,102503232,21.633,6.148,0.097,-0.995,true
