Temperature (°C),Humidity (%),Ice Cream Sales,Beach Visitors,Energy Consumption (kWh),Air Quality Index,Outdoor Activities,Water Consumption (L),Sunscreen Sales,Restaurant Visitors,Mood Index,Productivity Score
20.8,50.5,221,549,518,46,169,1091,169,272,10,55
33.2,49.0,331,732,738,19,261,1256,242,371,10,48
39.7,75.0,368,985,974,13,264,1565,346,399,10,44
32.9,45.9,297,907,817,21,258,946,275,335,10,43
31.1,49.4,313,719,732,37,239,1296,268,359,10,57
23.0,77.8,265,533,795,44,147,1160,192,257,10,47
13.1,40.5,125,292,482,57,120,672,133,116,10,59
12.2,47.2,165,339,362,74,78,851,117,153,10,54
34.8,39.3,396,924,785,10,263,1271,279,462,10,53
11.8,66.2,137,275,483,32,96,807,105,114,8,57
13.0,87.2,163,385,583,25,88,1249,85,130,8,50
13.4,54.7,138,280,453,53,93,619,135,154,10,56
39.9,67.5,421,966,893,0,249,1643,298,356,10,47
20.9,59.8,173,430,578,28,148,1160,195,177,10,46
39.0,49.1,413,1047,890,26,289,1367,328,437,10,45
1.3,89.3,55,8,487,63,15,771,34,0,1,44
10.0,65.6,77,176,565,38,78,779,84,98,8,59
28.5,57.9,256,784,731,46,206,1113,247,284,10,45
1.4,81.5,0,48,348,71,9,840,0,0,1,54
27.8,50.6,267,636,664,37,221,1099,222,328,10,55
10.7,48.2,103,271,451,46,73,680,66,162,10,68
27.9,77.8,317,781,778,0,171,1259,232,219,10,51
7.1,78.7,38,213,519,53,28,1002,65,106,2,43
35.2,33.1,327,963,711,12,289,1009,296,474,10,55
31.8,80.7,316,714,900,0,204,1292,268,302,10,32
36.6,40.0,404,908,798,15,308,1159,322,488,10,42
38.3,51.5,340,967,858,32,290,1112,317,417,10,49
36.0,76.3,329,917,834,18,234,1405,266,374,10,42
12.2,43.0,86,356,441,49,108,512,74,148,9,63
30.9,55.1,304,736,776,33,221,1005,258,373,10,43
20.2,87.2,164,558,646,31,111,1385,180,134,10,34
8.5,58.4,47,122,332,41,66,885,73,121,8,68
19.7,84.4,150,480,682,44,130,1043,176,216,10,51
24.0,64.7,233,652,677,43,143,1069,203,293,10,40
34.9,43.5,359,779,812,27,272,1253,301,393,10,40
11.7,54.3,87,315,429,68,95,659,120,153,9,59
19.6,55.3,199,454,562,58,146,949,180,202,10,48
6.6,87.5,42,73,582,56,46,848,48,40,3,56
22.4,55.1,195,595,679,58,160,960,168,230,10,57
26.3,63.9,282,634,630,11,165,1064,239,225,10,45
30.5,34.3,289,771,726,56,240,886,267,385,10,49
5.5,77.9,25,81,475,60,21,1031,51,45,4,55
23.8,68.4,212,589,709,33,145,1321,194,224,10,40
25.7,51.6,241,706,591,55,208,1053,232,324,10,50
33.3,75.4,307,792,904,0,190,1560,288,320,10,32
12.5,68.1,130,333,577,59,64,906,99,123,8,49
17.4,60.9,216,431,478,36,107,888,158,224,10,58
35.1,63.2,385,951,883,0,252,1248,251,327,10,45
10.9,76.1,105,361,610,38,83,1174,103,76,8,54
24.5,39.1,237,660,517,29,184,995,186,280,10,49
8.1,34.1,106,194,231,70,57,526,49,93,7,74
9.6,33.5,141,188,389,55,99,343,81,96,6,70
12.0,58.4,89,305,552,59,67,807,72,104,9,50
9.4,79.3,50,191,616,45,38,803,77,105,6,42
25.3,58.5,263,542,587,36,195,1278,180,279,10,59
1.3,52.7,32,82,291,81,28,385,1,49,1,61
10.3,52.4,111,318,508,56,59,851,98,84,6,57
19.6,42.7,152,436,561,67,137,729,179,233,10,55
20.5,36.8,226,613,540,54,166,737,137,263,10,60
15.0,45.4,148,365,385,37,104,917,145,218,10,69
15.4,30.5,138,294,284,45,140,486,147,220,10,60
12.2,39.6,159,297,382,77,106,457,107,147,10,60
23.7,70.9,233,558,774,13,148,1244,206,214,10,56
25.6,39.6,261,691,623,41,196,983,201,263,10,64
24.5,77.3,292,709,760,23,134,1429,189,260,10,47
26.8,43.9,250,607,646,37,217,994,216,290,10,63
25.1,47.7,291,697,556,52,202,948,192,249,10,55
30.8,51.2,328,767,701,14,230,1302,240,365,10,58
15.2,45.5,193,338,444,56,117,813,130,133,10,67
33.6,30.7,363,788,712,31,277,1069,283,406,10,53
2.1,81.6,0,143,424,41,0,735,7,8,1,48
11.0,53.1,141,357,472,39,61,815,87,147,9,55
28.8,80.8,335,642,868,9,181,1391,247,290,10,35
9.7,57.0,131,206,514,53,87,784,107,57,8,63
35.4,86.1,308,806,935,10,185,1700,280,299,10,34
21.6,39.8,257,625,602,55,190,970,164,304,10,57
4.3,55.5,58,31,256,50,16,798,10,37,2,62
25.5,59.3,272,719,658,47,165,1278,190,289,10,47
9.4,57.1,122,187,520,68,64,662,81,94,5,56
12.6,60.7,170,274,448,68,106,1034,81,94,10,46
38.7,55.1,431,1045,835,0,280,1468,304,442,10,43
6.0,37.8,88,183,226,74,35,597,61,44,3,71
6.4,81.3,95,234,571,48,56,1022,56,52,2,59
29.0,35.6,286,657,701,37,238,1058,226,313,10,47
6.6,33.9,111,258,294,81,46,342,70,59,7,70
36.7,32.5,345,988,627,35,301,916,307,497,10,51
16.5,82.6,195,332,612,35,114,1252,117,164,10,48
28.5,63.3,253,643,685,41,214,1203,246,293,10,43
26.4,67.4,305,563,742,46,184,1373,192,281,10,48
3.1,65.8,53,83,293,61,19,712,1,70,3,60
39.3,32.7,390,1017,739,30,344,1171,316,476,10,43
10.3,37.9,139,312,410,67,93,434,63,157,9,56
28.0,47.2,294,662,667,39,214,996,201,357,10,53
14.0,56.0,145,435,507,62,92,1017,140,134,9,60
17.7,69.3,134,536,619,35,105,873,164,209,10,50
25.3,72.5,277,703,796,12,158,1227,218,225,10,40
25.1,71.4,264,649,662,32,150,1040,195,261,10,49
25.6,87.4,269,600,904,2,160,1494,220,205,10,50
24.4,37.8,208,605,508,56,195,831,187,278,10,53
3.7,75.0,17,0,472,69,39,892,24,1,2,64
18.8,48.1,238,472,435,34,146,828,158,236,10,62
30.3,88.3,274,666,927,7,180,1319,267,280,10,44
19.8,47.6,222,473,442,57,141,870,143,205,10,63
4.2,83.9,64,103,393,68,34,956,21,52,3,62
29.9,52.9,302,657,676,28,216,1036,247,365,10,47
25.6,78.8,257,717,724,14,171,1256,216,185,10,49
26.7,30.7,235,681,608,29,213,776,197,322,10,65
28.4,65.8,311,787,683,42,191,1047,210,274,10,43
28.3,63.7,265,672,731,23,193,1324,206,328,10,46
10.7,43.2,104,261,325,68,72,845,115,88,7,52
18.3,38.7,182,510,521,41,130,871,131,199,10,67
16.3,63.6,181,507,559,48,111,1079,152,198,10,60
0.6,34.1,0,7,276,79,22,403,0,0,2,70
11.8,42.7,133,382,374,45,101,543,68,90,9,66
17.1,73.5,129,440,574,47,116,908,138,140,10,52
8.8,86.1,41,219,532,39,47,1112,96,95,6,58
15.7,87.6,136,319,751,40,82,1134,97,147,10,53
29.5,86.4,269,640,970,31,184,1461,230,269,10,35
8.9,82.3,115,244,638,58,33,804,53,98,4,60
26.1,37.9,268,737,567,27,222,818,199,345,10,59
24.4,87.5,264,705,713,21,145,1283,189,158,10,43
37.9,44.4,378,968,817,16,285,1090,313,464,10,57
26.5,64.9,222,656,758,18,196,1148,191,259,10,38
35.2,88.8,359,886,914,0,189,1406,271,292,10,31
38.0,83.3,428,1046,1027,0,204,1560,311,320,10,27
19.3,62.3,223,399,533,52,122,894,125,202,10,53
25.0,69.1,262,582,635,37,181,1242,194,252,10,55
35.8,69.2,362,878,919,10,218,1526,305,354,10,33
32.5,40.7,312,902,790,34,255,1123,254,387,10,59
28.3,30.5,271,712,546,61,236,810,214,388,10,62
38.8,46.4,411,911,861,10,290,1299,323,417,10,41
27.6,66.1,277,750,724,10,186,1017,209,269,10,52
21.0,38.4,171,460,509,53,174,650,160,229,10,50
20.4,57.5,216,538,511,56,164,966,156,224,10,56
15.3,55.1,183,339,477,69,94,925,99,133,10,58
8.1,45.7,75,123,309,68,51,549,67,131,7,72
9.0,46.8,113,137,366,71,55,803,72,90,7,71
37.1,44.4,410,930,756,22,271,1299,295,470,10,39
35.6,52.9,338,844,796,11,262,1381,295,441,10,45
28.0,33.7,325,776,676,21,240,1041,231,370,10,65
14.3,50.5,164,351,448,61,89,665,97,161,10,51
9.0,56.4,113,215,438,78,71,771,85,134,7,59
37.9,89.7,411,1004,922,13,215,1767,303,304,10,27
32.1,83.0,360,881,947,1,185,1321,241,276,10,37
2.3,84.0,6,120,482,52,0,1042,0,0,2,46
17.3,67.4,150,397,623,35,115,977,133,134,10,55
38.3,41.4,425,868,816,24,305,1098,311,503,10,49
5.6,56.7,66,155,320,53,47,655,58,90,3,61
6.4,41.4,72,148,362,90,33,599,62,115,6,73
4.7,47.9,29,146,383,81,19,567,50,43,4,56
34.3,40.7,329,872,787,29,258,996,279,370,10,51
18.0,43.3,173,358,527,47,130,650,130,180,10,53
26.0,59.7,254,674,711,20,202,1167,205,239,10,59
32.6,47.1,321,792,796,47,242,1270,248,371,10,55
34.6,77.8,374,780,859,0,221,1288,274,331,10,32
4.3,81.6,43,146,393,43,34,1062,9,69,4,50
36.4,81.4,328,870,1021,6,206,1735,292,360,10,32
16.2,31.1,127,491,481,49,130,549,136,189,10,55
34.6,88.6,364,937,948,18,210,1778,300,242,10,27
10.9,47.9,72,175,319,72,70,880,87,166,9,68
34.3,53.0,376,951,786,10,252,1127,257,377,10,56
0.7,50.6,4,0,251,54,0,616,25,13,1,57
34.8,37.9,376,790,777,24,301,1081,279,407,10,48
12.7,65.4,97,402,521,35,98,1071,89,156,9,64
27.7,33.8,299,650,514,24,243,787,233,382,10,55
6.9,61.9,116,193,455,44,49,818,58,79,4,48
35.4,42.5,350,985,675,13,281,935,277,405,10,59
21.8,84.7,186,643,846,41,131,1092,180,195,10,46
25.9,82.0,232,701,839,4,136,1528,207,181,10,44
14.1,86.6,153,422,607,35,72,1141,124,114,7,46
17.7,47.9,183,397,507,59,135,672,119,216,10,49
37.1,64.4,387,962,874,18,237,1238,271,338,10,43
32.9,72.5,349,756,903,26,206,1548,258,339,10,52
6.3,46.8,75,79,358,86,49,562,50,36,4,67
8.0,44.8,117,137,342,50,65,576,55,51,5,71
39.3,88.4,361,955,1046,0,228,1803,310,315,10,25
22.7,60.4,269,495,657,45,177,1030,190,269,10,48
1.5,38.1,6,29,177,90,17,439,17,14,1,72
7.1,79.9,118,238,548,39,31,1096,40,49,3,47
29.5,33.6,268,749,526,58,234,751,253,399,10,64
36.1,89.3,329,989,1052,11,212,1437,293,256,10,30
37.3,43.2,324,953,815,6,274,1359,311,407,10,39
29.7,46.1,314,739,734,31,211,918,231,340,10,51
14.7,82.8,167,458,607,18,103,1015,119,84,8,42
2.4,66.8,0,43,454,49,0,796,7,19,3,65
20.1,30.4,179,456,365,40,177,643,145,219,10,65
16.1,81.1,145,454,688,15,80,1315,141,101,10,57
16.8,58.0,214,505,550,27,128,1006,146,210,10,58
20.5,69.6,203,591,637,24,133,1267,164,219,10,58
1.0,37.8,52,11,114,96,24,541,0,43,1,63
22.9,48.5,223,559,503,36,192,843,171,278,10,44
32.1,61.3,299,765,817,17,203,1222,230,287,10,49
15.4,84.3,120,333,673,20,74,1317,150,86,10,42
15.1,64.7,157,475,645,63,93,974,109,194,8,55
12.9,59.7,169,415,531,38,103,737,106,156,10,64
14.1,43.1,131,411,489,53,91,866,106,215,10,54
2.1,76.4,25,81,394,74,0,895,41,62,1,48
32.0,60.5,288,780,713,27,228,1316,278,353,10,48
28.4,57.4,283,694,744,18,208,1118,249,297,10,49
33.7,42.6,375,762,638,20,284,1016,266,361,10,57
7.2,38.0,40,185,346,52,69,346,78,99,7,64
30.7,59.7,289,775,827,16,210,1135,263,319,10,57
39.5,51.7,355,894,861,29,279,1341,309,488,10,54
2.2,85.1,37,0,374,34,14,789,25,8,2,58
21.0,71.2,204,525,647,29,126,1171,186,248,10,40
3.2,34.3,38,0,218,67,12,575,35,41,1,74
5.0,32.9,77,64,148,94,36,472,17,84,4,67
10.3,62.6,93,172,444,68,51,747,112,94,7,46
3.5,50.8,59,5,241,79,45,504,7,84,4,63
1.3,33.8,20,0,109,89,4,380,16,0,1,67
26.1,88.6,291,721,779,15,134,1563,212,267,10,32
8.1,31.6,76,207,290,75,55,474,54,121,6,57
17.6,54.0,153,414,587,40,110,1063,117,240,10,63
34.9,60.5,345,892,906,14,226,1107,271,346,10,41
3.0,39.6,60,100,227,70,35,546,48,16,2,66
9.1,61.5,108,247,458,57,58,816,70,101,6,49
38.4,49.0,404,1011,809,23,295,1410,282,437,10,36
22.3,62.7,223,651,567,38,157,937,163,271,10,58
28.7,62.8,312,707,649,14,200,1073,202,278,10,54
35.7,45.1,366,988,846,40,294,1164,278,399,10,40
9.1,78.3,139,184,623,40,40,970,93,60,6,59
4.0,56.7,21,84,257,78,16,455,25,18,1,67
10.2,82.5,67,287,637,36,47,1093,55,85,4,47
4.7,49.6,48,61,380,52,34,565,33,84,2,70
26.3,35.0,227,650,554,34,203,969,185,336,10,60
15.5,61.8,117,403,564,58,105,767,103,127,10,46
16.0,32.0,170,433,317,43,117,493,149,243,10,61
1.8,56.4,0,6,363,81,0,490,6,0,3,64
37.3,69.9,340,976,908,28,253,1644,270,322,10,36
18.2,64.6,200,463,681,56,108,967,172,216,10,42
14.7,33.5,131,422,363,60,108,595,138,220,10,55
7.2,59.7,85,206,398,51,66,886,68,95,5,49
4.1,73.7,3,82,498,51,32,685,52,4,1,47
13.3,56.3,153,363,477,70,102,667,90,159,10,61
15.9,75.5,186,466,636,55,101,1261,126,101,9,45
36.3,41.9,367,810,760,31,296,1253,277,443,10,51
18.0,55.6,196,473,499,64,128,717,151,230,10,57
27.0,60.5,281,605,683,11,180,986,204,287,10,46
15.6,38.9,173,314,481,46,126,749,141,154,10,62
33.0,31.8,287,884,689,16,284,931,261,388,10,60
30.6,33.7,327,801,660,19,260,773,224,421,10,46
28.7,32.0,274,634,542,23,247,903,246,349,10,65
26.9,51.4,225,728,607,50,200,1189,206,349,10,47
22.2,76.7,186,468,627,44,127,1300,203,160,10,48
14.5,36.4,110,413,403,62,130,752,87,185,10,58
10.9,83.7,75,347,509,31,77,1239,117,95,5,45
7.0,83.4,64,168,454,42,46,1060,45,25,3,45
11.6,41.8,96,226,302,76,84,818,81,149,9,67
6.6,31.8,20,95,192,78,58,626,79,45,6,72
11.0,39.6,154,248,280,77,87,511,90,135,9,54
8.3,81.8,75,257,537,35,45,1028,78,51,7,42
15.8,84.4,112,481,727,49,111,1066,116,166,8,56
36.2,77.9,362,820,957,0,231,1651,286,346,10,29
19.7,50.4,159,591,597,52,148,772,179,264,10,46
27.1,38.3,310,666,653,46,204,1030,212,368,10,57
3.1,75.8,14,108,502,76,38,732,0,47,1,48
27.6,76.3,293,664,810,10,184,1217,199,295,10,43
11.4,83.8,104,201,679,34,68,1205,69,65,5,56
25.3,41.9,290,630,665,28,199,911,187,260,10,48
32.5,73.4,367,744,875,26,199,1260,282,260,10,40
37.6,31.6,419,1000,809,27,310,1256,326,446,10,43
6.1,59.6,55,60,290,80,55,738,46,63,6,50
35.8,70.2,330,866,952,0,214,1380,270,345,10,40
35.6,58.4,318,916,922,21,266,1210,271,384,10,51
32.5,39.8,325,911,761,20,276,971,255,439,10,52
20.1,61.2,202,532,649,29,133,819,143,180,10,54
34.3,85.8,333,855,932,0,192,1741,251,250,10,31
22.0,34.5,208,632,506,63,174,649,164,316,10,61
25.4,43.1,256,640,639,58,210,1065,227,299,10,61
22.6,65.2,270,548,748,49,139,1108,201,187,10,40
32.6,88.3,288,735,1011,0,196,1618,275,305,10,36
28.6,80.7,264,754,933,12,170,1430,216,219,10,44
9.2,86.9,67,288,619,33,37,1142,61,91,6,52
3.0,45.1,50,64,231,80,13,650,16,76,1,62
21.1,70.4,210,501,671,42,135,1308,197,239,10,45
8.8,77.3,138,268,531,54,59,932,71,72,5,49
11.6,30.9,115,282,349,75,101,709,112,180,10,60
36.3,74.8,377,986,918,13,210,1339,266,379,10,39
9.5,32.6,59,152,344,83,75,483,79,143,7,68
37.9,60.9,392,924,908,11,263,1331,309,417,10,48
10.7,47.9,140,224,487,77,79,572,93,115,7,70
6.3,30.5,57,204,165,65,69,431,26,44,5,63
1.8,56.4,4,2,324,87,19,409,0,7,3,64
14.0,73.2,174,301,504,56,81,1085,123,141,9,43
9.1,65.1,53,138,546,36,50,925,89,49,5,57
23.9,31.8,253,635,555,30,212,917,192,326,10,55
19.0,70.3,230,397,673,52,112,1056,136,218,10,56
4.8,48.8,68,89,263,87,41,687,50,7,4,55
30.3,65.6,279,856,839,5,211,1203,222,275,10,42
13.4,49.3,106,301,482,41,111,714,132,143,9,63
8.3,85.6,58,244,648,42,57,907,65,108,4,58
31.1,54.2,303,875,647,33,242,1330,275,353,10,55
30.7,47.4,349,838,753,27,232,1057,256,354,10,59
29.7,89.3,307,734,914,14,162,1559,261,239,10,48
8.6,62.6,109,158,406,59,50,751,77,109,6,60
1.7,37.6,0,0,163,64,13,361,18,0,3,61
10.6,31.3,68,315,390,83,92,694,64,119,8,62
30.0,59.4,256,835,735,41,196,1278,239,364,10,44
27.8,85.5,326,657,898,31,178,1300,246,208,10,33
38.3,84.2,380,939,1060,0,234,1668,322,294,10,31
19.5,77.8,193,539,726,40,112,1367,149,132,10,48
34.2,54.2,356,923,875,15,233,1316,303,386,10,50
22.7,36.0,253,480,492,42,170,985,168,277,10,52
10.8,85.9,76,174,668,45,42,964,90,48,5,52
4.4,37.5,16,49,171,61,37,507,28,102,2,72
11.8,41.0,159,320,359,72,92,740,119,157,8,56
6.2,68.0,15,168,420,62,33,916,62,104,6,57
29.1,35.2,299,794,567,44,237,801,212,382,10,56
29.4,82.9,328,822,855,1,185,1480,213,229,10,44
13.5,80.5,172,391,696,46,100,1059,132,155,6,48
27.2,61.5,239,650,774,37,190,1192,198,243,10,42
9.4,88.8,89,316,571,53,54,1060,57,90,6,44
25.8,54.6,215,678,712,32,195,1184,202,286,10,56
33.6,64.1,316,791,877,11,224,1475,271,329,10,37
21.1,87.2,196,518,724,30,124,1357,139,153,10,43
5.3,61.6,26,207,299,50,48,772,45,39,5,65
4.0,87.6,37,63,561,35,11,945,60,69,3,52
28.4,66.7,314,646,778,15,201,1290,244,284,10,47
32.3,50.5,295,840,808,37,262,1069,286,378,10,49
36.5,44.9,346,843,690,16,274,1034,273,427,10,55
0.7,47.7,27,34,262,61,7,508,1,11,1,75
6.2,49.0,15,120,357,60,44,608,64,46,3,65
3.5,33.5,10,114,215,70,30,256,49,93,1,76
31.5,39.0,302,814,626,26,263,927,277,424,10,45
4.3,83.9,72,180,390,42,26,1015,26,22,1,59
15.8,45.7,165,335,433,48,115,739,133,146,10,49
14.3,44.9,121,321,489,66,96,619,134,153,10,62
6.8,52.3,46,157,301,76,62,752,79,56,6,67
26.4,55.3,292,563,625,14,197,921,202,333,10,58
30.9,56.8,358,853,781,10,218,1086,236,360,10,54
31.0,86.8,316,723,878,10,178,1664,248,303,10,39
27.1,75.2,315,743,788,36,152,1480,212,281,10,36
36.8,43.5,414,931,781,26,278,1229,283,441,10,54
24.0,80.1,243,670,789,12,133,1470,182,194,10,42
10.3,50.6,126,303,424,63,80,874,102,152,7,61
1.5,36.0,15,82,158,89,5,476,12,60,1,59
33.1,84.4,356,743,1016,25,202,1613,246,275,10,46
24.7,55.7,263,658,746,37,167,966,178,242,10,55
22.9,72.0,244,484,679,27,149,1223,154,191,10,49
24.8,44.2,221,527,672,24,188,774,189,312,10,49
1.3,49.6,27,0,355,62,6,711,28,0,1,72
37.1,73.4,340,850,860,7,233,1382,320,353,10,42
15.7,43.8,193,457,464,42,121,692,130,205,10,59
2.0,73.1,6,101,376,67,0,588,36,0,1,59
2.7,71.5,47,141,468,66,19,747,21,72,3,59
12.5,37.4,114,224,376,75,105,664,71,191,10,60
11.9,52.0,90,355,383,40,100,735,94,88,9,60
1.1,80.7,0,25,496,54,21,653,0,0,1,45
3.4,86.1,58,11,515,40,0,949,0,30,2,54
7.9,71.5,86,272,436,54,42,995,72,106,3,50
3.2,54.1,20,173,406,63,29,631,37,70,4,63
36.2,75.2,363,854,957,0,238,1356,319,303,10,35
15.5,32.2,202,393,464,48,121,809,114,211,10,55
12.4,71.0,137,396,622,31,64,941,90,164,9,48
23.7,62.6,282,645,662,23,158,1093,164,262,10,52
33.9,40.4,318,863,706,46,254,1275,273,437,10,58
36.7,63.6,374,841,944,25,233,1410,285,385,10,36
9.8,68.2,94,249,495,70,67,739,97,94,8,59
26.9,45.1,318,627,705,42,214,1055,216,293,10,54
22.0,79.5,184,625,726,36,136,1353,156,188,10,46
29.9,60.8,336,824,830,10,214,1014,222,341,10,43
9.5,54.6,82,157,455,40,55,895,66,100,8,64
14.0,43.6,146,402,528,49,113,886,136,210,10,57
28.4,60.3,253,748,674,38,199,1166,228,333,10,55
26.4,45.6,222,715,643,23,199,801,184,346,10,55
31.6,61.5,332,842,719,27,204,1284,233,289,10,45
36.5,88.9,405,860,910,4,202,1602,318,326,10,35
0.5,32.4,46,63,137,97,16,378,23,40,1,71
24.7,40.6,237,526,564,55,198,1009,168,318,10,47
0.8,55.4,0,0,227,59,13,651,0,0,2,56
14.7,53.4,132,333,492,67,99,679,120,198,10,63
14.6,63.6,188,405,533,42,86,791,126,176,10,49
35.4,63.0,315,817,892,32,224,1524,299,385,10,38
25.2,75.6,234,695,663,9,153,1377,195,279,10,48
19.1,31.1,191,470,472,42,164,814,159,216,10,57
20.0,42.5,208,453,526,48,142,945,155,280,10,67
2.0,54.8,69,56,255,70,31,555,44,38,1,66
25.8,66.0,259,557,704,10,180,1307,190,234,10,49
29.0,33.5,323,777,641,31,244,1058,230,364,10,64
37.7,88.0,396,964,995,0,206,1656,331,340,10,26
23.7,37.4,212,559,527,58,211,858,212,294,10,48
2.1,57.0,30,88,264,80,25,724,8,5,1,59
29.4,61.6,254,798,765,15,215,1119,246,256,10,44
31.3,35.9,348,759,673,49,263,940,230,352,10,60
7.2,48.8,33,131,358,72,64,614,29,89,6,66
22.4,67.0,198,627,727,42,149,1021,174,270,10,40
25.2,73.2,230,688,796,14,170,1433,178,198,10,50
13.6,49.2,147,286,461,61,91,688,125,111,9,49
23.2,35.6,215,592,452,34,200,833,165,305,10,49
26.6,50.8,303,648,727,27,212,1158,214,318,10,43
19.0,38.4,205,467,434,44,136,725,126,278,10,49
26.7,32.6,226,726,589,28,222,805,237,371,10,60
25.0,51.0,241,568,589,39,170,1149,178,230,10,43
9.4,80.0,101,250,473,52,71,947,46,113,5,53
14.3,77.8,133,321,700,22,91,1245,144,138,8,55
36.5,43.9,387,937,724,19,272,1010,292,401,10,47
