ID,Category,Subcategory,Size,Color,Material,Brand,Price Range,Rating,In Stock,Shipping Weight,Age Group
46,Electronics,Phones,Medium,Purple,Wood,Alpha,Mid-range,2,false,17.54,Seniors
47,Clothing,Dresses,Large,Black,Plastic,Gamma,Mid-range,1,true,6.83,Teens
48,Home,Kitchen,Medium,Purple,Plastic,Epsilon,Luxury,2,true,1.42,Seniors
49,Electronics,Accessories,Small,Red,Wood,Beta,Premium,3,true,17.96,Teens
50,Food,Frozen,Medium,Purple,Cotton,Gamma,Mid-range,3,true,1.60,Seniors
51,Sports,Accessories,Small,Green,Glass,Beta,Mid-range,1,true,6.82,Children
52,Electronics,Tablets,Large,White,Wood,Delta,Budget,4,true,13.18,Adults
53,Clothing,Shirts,Large,Blue,Cotton,Alpha,Budget,3,true,11.40,Teens
54,Sports,Equipment,Small,White,Wood,Epsilon,Mid-range,2,true,12.13,Teens
55,Home,Decor,Medium,Yellow,Leather,Gamma,Mid-range,2,false,12.17,Children
56,Home,Bath,Large,Yellow,Plastic,Epsilon,Budget,4,false,11.66,Teens
57,Electronics,Tablets,Small,Green,Plastic,Beta,Luxury,4,true,4.19,Adults
58,Electronics,Accessories,Medium,White,Plastic,Alpha,Budget,2,false,13.09,Seniors
59,Food,Frozen,Large,Purple,Cotton,Beta,Budget,5,true,14.09,Seniors
60,Clothing,Shoes,Large,Green,Leather,Delta,Premium,1,true,1.20,Adults
61,Electronics,Accessories,Small,Blue,Plastic,Gamma,Mid-range,5,false,15.41,Adults
62,Clothing,Shirts,Medium,Purple,Plastic,Alpha,Premium,2,false,8.10,Teens
63,Food,Beverages,Small,White,Plastic,Delta,Premium,4,true,12.81,Seniors
64,Food,Beverages,Large,Purple,Wood,Beta,Mid-range,2,false,18.36,Adults
65,Sports,Equipment,Large,Blue,Wood,Gamma,Mid-range,3,false,10.20,Seniors
66,Electronics,Phones,Medium,Yellow,Leather,Epsilon,Mid-range,4,false,3.13,Adults
67,Sports,Equipment,Large,Red,Metal,Epsilon,Luxury,1,true,14.66,Children
68,Clothing,Shoes,Small,Red,Wood,Epsilon,Luxury,1,true,19.69,Adults
69,Home,Bath,Medium,Blue,Metal,Delta,Budget,3,true,18.81,Seniors
70,Clothing,Dresses,Large,Purple,Wood,Gamma,Mid-range,5,false,19.53,Children
71,Clothing,Pants,Medium,Green,Glass,Beta,Premium,5,true,17.30,Seniors
72,Home,Furniture,Medium,Black,Cotton,Delta,Budget,5,true,17.32,Children
73,Clothing,Dresses,Small,Red,Wood,Gamma,Budget,1,true,14.12,Children
74,Food,Frozen,Large,Red,Plastic,Alpha,Mid-range,3,true,5.01,Children
75,Sports,Equipment,Small,Green,Wood,Delta,Premium,2,false,10.72,Teens
76,Food,Beverages,Small,White,Leather,Delta,Mid-range,2,true,16.11,Seniors
77,Electronics,Phones,Large,Green,Glass,Alpha,Budget,1,false,9.91,Adults
78,Sports,Nutrition,Small,Black,Glass,Alpha,Budget,1,false,4.87,Teens
79,Electronics,Phones,Medium,Black,Metal,Epsilon,Premium,2,false,16.93,Teens
80,Clothing,Dresses,Medium,Red,Plastic,Alpha,Luxury,5,true,15.45,Seniors
81,Clothing,Shoes,Large,Blue,Plastic,Epsilon,Premium,5,false,19.68,Adults
82,Food,Snacks,Small,White,Wood,Beta,Budget,5,true,19.36,Seniors
83,Sports,Apparel,Medium,Blue,Wood,Gamma,Mid-range,2,false,13.44,Seniors
84,Electronics,Phones,Medium,Purple,Glass,Epsilon,Premium,3,true,8.96,Teens
85,Sports,Equipment,Medium,Yellow,Plastic,Gamma,Budget,5,true,12.03,Teens
86,Electronics,Tablets,Small,Yellow,Cotton,Gamma,Premium,1,true,7.41,Children
87,Clothing,Shoes,Small,Green,Glass,Beta,Mid-range,3,true,0.54,Children
88,Home,Bath,Small,Purple,Leather,Delta,Mid-range,4,true,6.58,Seniors
89,Electronics,Laptops,Large,Purple,Cotton,Gamma,Premium,5,true,7.13,Seniors
90,Home,Decor,Medium,Red,Cotton,Gamma,Mid-range,1,true,3.88,Children
91,Food,Frozen,Medium,Red,Wood,Alpha,Luxury,2,true,4.62,Adults
92,Home,Kitchen,Small,Blue,Glass,Delta,Luxury,2,false,19.09,Seniors
93,Clothing,Pants,Medium,White,Metal,Beta,Premium,3,true,4.43,Teens
94,Sports,Apparel,Small,Black,Cotton,Epsilon,Mid-range,3,true,8.61,Seniors
95,Home,Decor,Small,Purple,Metal,Alpha,Premium,2,true,5.36,Teens
96,Sports,Equipment,Large,Blue,Leather,Beta,Luxury,3,true,1.74,Seniors
97,Food,Frozen,Small,White,Glass,Alpha,Mid-range,3,true,8.02,Adults
98,Food,Snacks,Large,Black,Metal,Beta,Budget,2,true,11.14,Children
99,Food,Beverages,Small,Black,Plastic,Alpha,Luxury,5,true,14.99,Adults
100,Electronics,Accessories,Large,Yellow,Wood,Alpha,Mid-range,5,true,11.20,Children
101,Food,Beverages,Medium,Blue,Glass,Alpha,Mid-range,1,true,11.47,Teens
102,Electronics,Phones,Medium,Purple,Wood,Alpha,Budget,3,true,7.43,Seniors
103,Home,Furniture,Medium,White,Plastic,Beta,Premium,1,false,10.54,Seniors
104,Electronics,Laptops,Small,Yellow,Plastic,Gamma,Luxury,5,false,2.35,Seniors
105,Electronics,Accessories,Large,Red,Metal,Beta,Mid-range,3,false,15.89,Teens
106,Home,Decor,Small,Yellow,Plastic,Delta,Premium,4,false,6.63,Adults
107,Electronics,Tablets,Large,Blue,Metal,Gamma,Luxury,3,false,13.91,Adults
108,Sports,Nutrition,Large,Yellow,Cotton,Gamma,Luxury,2,true,3.00,Seniors
109,Clothing,Pants,Small,Red,Metal,Epsilon,Mid-range,2,true,4.99,Teens
110,Electronics,Phones,Small,Yellow,Wood,Epsilon,Luxury,2,true,16.85,Seniors
111,Home,Decor,Large,Blue,Metal,Gamma,Mid-range,2,true,7.25,Teens
112,Sports,Accessories,Large,Black,Plastic,Gamma,Mid-range,2,true,17.38,Children
113,Home,Bath,Small,Red,Cotton,Epsilon,Budget,4,true,1.48,Children
114,Clothing,Shoes,Small,Green,Leather,Alpha,Luxury,1,true,4.33,Seniors
115,Electronics,Phones,Small,Red,Plastic,Alpha,Budget,5,true,7.83,Seniors
116,Electronics,Laptops,Medium,Yellow,Plastic,Gamma,Luxury,1,false,4.34,Adults
117,Sports,Equipment,Medium,Black,Metal,Beta,Mid-range,3,false,13.91,Children
118,Sports,Accessories,Small,Blue,Plastic,Gamma,Luxury,4,true,6.74,Children
119,Home,Furniture,Medium,Red,Cotton,Epsilon,Mid-range,2,true,13.10,Seniors
120,Clothing,Pants,Small,White,Wood,Epsilon,Mid-range,4,true,19.55,Teens
121,Clothing,Pants,Small,Yellow,Cotton,Alpha,Budget,2,true,19.74,Seniors
122,Sports,Accessories,Medium,Purple,Metal,Beta,Luxury,2,true,16.53,Children
123,Home,Furniture,Medium,White,Metal,Gamma,Luxury,4,true,9.62,Teens
124,Sports,Nutrition,Small,Red,Wood,Epsilon,Premium,4,true,1.48,Children
125,Sports,Equipment,Medium,White,Wood,Gamma,Luxury,4,true,17.43,Children
126,Clothing,Pants,Small,Green,Wood,Delta,Budget,4,true,17.31,Teens
127,Electronics,Accessories,Small,White,Metal,Alpha,Luxury,4,true,11.74,Children
128,Clothing,Shoes,Medium,Red,Glass,Delta,Mid-range,5,true,18.26,Adults
129,Food,Fresh,Large,Green,Glass,Epsilon,Budget,5,false,1.19,Children
130,Sports,Apparel,Large,Purple,Leather,Alpha,Luxury,4,true,11.71,Children
131,Home,Kitchen,Large,Green,Cotton,Alpha,Luxury,4,true,4.71,Teens
132,Home,Furniture,Large,Yellow,Cotton,Gamma,Premium,5,false,19.09,Teens
133,Sports,Nutrition,Small,Black,Wood,Beta,Mid-range,2,false,7.14,Children
134,Electronics,Tablets,Large,Blue,Wood,Epsilon,Mid-range,5,false,18.50,Teens
135,Home,Kitchen,Large,Blue,Metal,Beta,Luxury,3,true,18.73,Seniors
136,Sports,Equipment,Small,Blue,Plastic,Beta,Mid-range,1,true,12.10,Adults
137,Electronics,Tablets,Medium,Green,Leather,Alpha,Premium,1,false,5.81,Children
138,Home,Kitchen,Large,Blue,Glass,Epsilon,Mid-range,1,true,1.45,Adults
139,Sports,Nutrition,Small,White,Wood,Delta,Premium,1,true,5.36,Adults
140,Home,Bath,Small,Black,Metal,Delta,Luxury,4,true,10.29,Children
141,Home,Furniture,Small,Red,Leather,Gamma,Premium,1,true,1.85,Seniors
142,Food,Frozen,Small,Green,Wood,Beta,Mid-range,2,true,16.02,Children
143,Clothing,Shoes,Medium,Yellow,Glass,Beta,Mid-range,2,true,14.55,Seniors
144,Home,Kitchen,Large,Red,Leather,Beta,Premium,3,true,16.00,Seniors
145,Home,Furniture,Small,Green,Wood,Beta,Premium,2,false,1.56,Adults
146,Clothing,Shoes,Small,Red,Cotton,Delta,Premium,1,true,1.79,Children
147,Electronics,Tablets,Small,Blue,Wood,Beta,Premium,3,true,15.86,Children
148,Electronics,Accessories,Small,Blue,Metal,Alpha,Mid-range,3,true,10.89,Children
149,Home,Furniture,Large,Blue,Plastic,Delta,Budget,5,true,4.46,Children
150,Sports,Equipment,Large,Green,Cotton,Gamma,Premium,2,true,3.06,Children
151,Food,Fresh,Small,Purple,Metal,Alpha,Luxury,5,true,9.50,Teens
152,Electronics,Phones,Medium,White,Plastic,Gamma,Luxury,3,false,2.75,Children
153,Electronics,Accessories,Medium,Blue,Wood,Gamma,Mid-range,1,true,16.22,Seniors
154,Home,Furniture,Medium,Purple,Metal,Epsilon,Budget,1,false,6.83,Adults
155,Home,Bath,Medium,Yellow,Plastic,Epsilon,Premium,3,true,6.78,Teens
156,Sports,Nutrition,Large,Purple,Wood,Beta,Premium,1,true,10.91,Adults
157,Food,Snacks,Medium,Purple,Metal,Beta,Premium,5,false,3.38,Children
158,Food,Snacks,Medium,White,Wood,Epsilon,Mid-range,1,true,8.56,Children
159,Electronics,Tablets,Large,Black,Cotton,Alpha,Luxury,2,false,15.13,Seniors
160,Electronics,Laptops,Small,Green,Glass,Beta,Budget,2,true,18.71,Adults
161,Food,Snacks,Large,Purple,Cotton,Alpha,Mid-range,1,true,10.30,Seniors
162,Electronics,Accessories,Medium,Yellow,Wood,Alpha,Mid-range,2,true,1.27,Teens
163,Clothing,Dresses,Large,Black,Wood,Gamma,Budget,5,true,2.69,Seniors
164,Food,Beverages,Large,Purple,Glass,Alpha,Luxury,4,false,14.04,Teens
165,Electronics,Tablets,Small,Red,Metal,Alpha,Premium,5,true,10.93,Children
166,Clothing,Shirts,Large,White,Glass,Gamma,Premium,2,true,16.61,Seniors
167,Food,Snacks,Medium,White,Plastic,Gamma,Budget,4,false,9.02,Seniors
168,Home,Bath,Small,Green,Leather,Epsilon,Premium,1,true,3.21,Seniors
169,Home,Kitchen,Large,Blue,Cotton,Beta,Luxury,4,false,6.19,Seniors
170,Clothing,Dresses,Small,White,Cotton,Alpha,Budget,5,true,2.96,Teens
171,Electronics,Accessories,Medium,White,Leather,Delta,Mid-range,4,true,3.10,Teens
172,Clothing,Shirts,Large,Green,Leather,Delta,Budget,5,false,6.41,Adults
173,Food,Beverages,Medium,White,Leather,Delta,Premium,3,true,14.33,Teens
174,Clothing,Shoes,Small,Yellow,Cotton,Epsilon,Mid-range,1,true,11.97,Seniors
175,Food,Fresh,Large,Red,Wood,Epsilon,Mid-range,2,false,0.15,Adults
176,Electronics,Tablets,Medium,White,Leather,Delta,Premium,5,true,9.45,Teens
177,Clothing,Shirts,Medium,White,Cotton,Epsilon,Mid-range,1,true,11.86,Teens
178,Clothing,Pants,Medium,White,Plastic,Alpha,Premium,5,true,8.65,Seniors
179,Clothing,Dresses,Large,Red,Wood,Beta,Premium,5,true,19.83,Teens
180,Electronics,Phones,Small,Black,Glass,Delta,Luxury,4,true,6.99,Children
181,Food,Frozen,Large,Yellow,Glass,Beta,Mid-range,5,true,17.46,Children
182,Home,Decor,Large,Purple,Glass,Epsilon,Luxury,4,true,3.03,Teens
183,Home,Decor,Small,Yellow,Leather,Beta,Budget,2,true,5.37,Adults
184,Clothing,Pants,Small,Yellow,Wood,Gamma,Luxury,4,true,3.48,Seniors
185,Clothing,Shoes,Large,Green,Wood,Beta,Luxury,1,false,18.78,Adults
186,Food,Frozen,Large,Purple,Leather,Delta,Luxury,1,true,15.91,Children
187,Sports,Equipment,Small,White,Plastic,Epsilon,Budget,1,true,10.87,Children
188,Food,Frozen,Small,Black,Wood,Beta,Premium,5,false,0.45,Teens
189,Food,Fresh,Large,Red,Leather,Alpha,Budget,4,false,0.30,Teens
190,Food,Frozen,Large,Yellow,Leather,Delta,Luxury,3,true,1.03,Children
191,Home,Furniture,Small,Purple,Leather,Beta,Luxury,4,true,12.85,Adults
192,Sports,Accessories,Medium,Purple,Leather,Gamma,Budget,1,true,15.82,Adults
193,Clothing,Dresses,Large,White,Leather,Beta,Premium,5,true,16.15,Seniors
194,Sports,Accessories,Small,Green,Wood,Delta,Premium,5,true,0.27,Seniors
195,Home,Bath,Large,White,Glass,Delta,Premium,1,false,10.94,Teens
196,Sports,Equipment,Large,Yellow,Glass,Beta,Budget,2,true,4.36,Children
197,Electronics,Laptops,Medium,White,Plastic,Beta,Luxury,1,true,2.51,Teens
198,Electronics,Laptops,Large,White,Glass,Epsilon,Luxury,1,true,7.06,Children
199,Electronics,Accessories,Medium,White,Glass,Beta,Luxury,4,true,5.40,Children
200,Sports,Equipment,Medium,Black,Plastic,Beta,Luxury,4,false,1.19,Seniors
201,Home,Furniture,Large,Blue,Leather,Delta,Luxury,3,true,14.30,Children
202,Food,Snacks,Medium,Yellow,Glass,Delta,Mid-range,3,true,8.66,Seniors
203,Electronics,Accessories,Small,Blue,Wood,Beta,Luxury,3,true,14.13,Teens
204,Sports,Equipment,Medium,Green,Wood,Gamma,Budget,4,true,9.46,Adults
205,Sports,Apparel,Small,Purple,Glass,Gamma,Budget,4,true,16.84,Children
206,Food,Beverages,Medium,Purple,Plastic,Epsilon,Luxury,5,true,12.96,Adults
207,Clothing,Shirts,Medium,Yellow,Metal,Alpha,Luxury,4,true,12.15,Teens
208,Sports,Equipment,Small,Purple,Leather,Alpha,Mid-range,4,true,6.89,Adults
209,Electronics,Phones,Medium,White,Glass,Alpha,Premium,2,true,4.04,Teens
210,Sports,Accessories,Large,White,Cotton,Alpha,Budget,3,true,6.62,Children
211,Electronics,Laptops,Small,Red,Plastic,Gamma,Luxury,4,true,5.03,Adults
212,Food,Fresh,Large,Purple,Cotton,Delta,Mid-range,2,true,3.70,Teens
213,Sports,Equipment,Medium,Blue,Wood,Epsilon,Premium,5,true,3.27,Adults
214,Clothing,Pants,Medium,Black,Plastic,Alpha,Premium,5,true,6.89,Seniors
215,Home,Furniture,Small,Yellow,Metal,Alpha,Premium,5,true,6.09,Children
216,Electronics,Laptops,Small,Green,Plastic,Beta,Luxury,2,true,5.20,Teens
217,Sports,Equipment,Large,Purple,Cotton,Gamma,Mid-range,3,true,4.58,Seniors
218,Home,Bath,Large,Red,Cotton,Delta,Luxury,5,true,0.45,Adults
219,Home,Furniture,Medium,Green,Leather,Epsilon,Luxury,1,true,18.00,Seniors
220,Clothing,Shoes,Medium,Purple,Metal,Epsilon,Budget,3,false,6.39,Adults
221,Electronics,Tablets,Small,Purple,Plastic,Gamma,Premium,3,true,17.92,Children
222,Sports,Nutrition,Large,Yellow,Leather,Alpha,Mid-range,2,true,18.75,Adults
223,Home,Kitchen,Small,Yellow,Cotton,Gamma,Budget,3,true,2.39,Adults
224,Electronics,Phones,Medium,Red,Glass,Epsilon,Mid-range,3,true,18.86,Children
225,Food,Frozen,Small,White,Plastic,Epsilon,Premium,4,true,13.77,Teens
226,Sports,Equipment,Medium,Blue,Wood,Delta,Mid-range,5,true,18.27,Seniors
227,Sports,Equipment,Medium,Red,Metal,Beta,Luxury,5,true,18.29,Seniors
228,Food,Beverages,Medium,Purple,Leather,Gamma,Budget,1,true,8.38,Teens
229,Clothing,Shoes,Small,Blue,Glass,Alpha,Mid-range,3,true,9.91,Seniors
230,Food,Fresh,Small,Yellow,Glass,Delta,Luxury,2,true,16.40,Seniors
231,Electronics,Phones,Large,Yellow,Wood,Beta,Luxury,2,false,1.51,Children
232,Food,Snacks,Large,Black,Cotton,Gamma,Premium,4,false,0.54,Teens
233,Sports,Nutrition,Small,Black,Glass,Gamma,Mid-range,2,true,13.71,Teens
234,Home,Kitchen,Small,White,Glass,Epsilon,Budget,1,false,12.10,Teens
235,Food,Snacks,Large,White,Metal,Delta,Budget,5,true,3.68,Teens
236,Clothing,Pants,Large,Red,Plastic,Alpha,Mid-range,2,false,4.74,Children
237,Food,Fresh,Large,Blue,Plastic,Gamma,Luxury,2,true,19.69,Children
238,Home,Furniture,Medium,Green,Glass,Epsilon,Mid-range,5,true,17.12,Seniors
239,Electronics,Accessories,Small,Purple,Plastic,Alpha,Budget,3,true,12.45,Children
240,Electronics,Tablets,Large,Green,Glass,Beta,Premium,4,true,12.55,Children
241,Electronics,Accessories,Small,Yellow,Cotton,Delta,Budget,4,true,15.52,Children
242,Food,Frozen,Medium,Green,Plastic,Gamma,Budget,1,false,17.63,Children
243,Sports,Accessories,Medium,Red,Wood,Alpha,Luxury,4,false,19.37,Adults
244,Food,Frozen,Large,Green,Plastic,Beta,Luxury,2,true,4.55,Seniors
245,Electronics,Accessories,Small,Black,Glass,Delta,Premium,3,false,17.33,Teens
246,Home,Kitchen,Small,Black,Wood,Alpha,Luxury,3,true,8.77,Seniors
247,Home,Decor,Large,Yellow,Metal,Delta,Mid-range,5,false,0.53,Seniors
248,Clothing,Shirts,Large,Black,Wood,Epsilon,Luxury,4,true,12.09,Adults
249,Electronics,Tablets,Medium,Blue,Wood,Alpha,Premium,2,true,3.62,Children
250,Food,Frozen,Small,Green,Leather,Epsilon,Luxury,4,true,15.44,Seniors
251,Food,Snacks,Medium,Yellow,Cotton,Beta,Luxury,4,true,1.82,Seniors
252,Clothing,Shirts,Large,White,Cotton,Alpha,Luxury,3,false,5.55,Adults
253,Home,Decor,Medium,Blue,Plastic,Beta,Luxury,5,false,16.85,Adults
254,Electronics,Accessories,Medium,Red,Cotton,Epsilon,Mid-range,1,true,4.85,Children
255,Food,Frozen,Medium,Yellow,Plastic,Epsilon,Premium,4,true,16.89,Adults
256,Sports,Accessories,Small,Yellow,Cotton,Beta,Mid-range,3,true,12.91,Adults
257,Sports,Equipment,Small,Red,Plastic,Epsilon,Budget,4,true,7.36,Teens
258,Sports,Equipment,Large,Yellow,Metal,Epsilon,Luxury,4,false,10.36,Children
259,Sports,Nutrition,Large,Blue,Plastic,Gamma,Premium,5,true,14.58,Seniors
260,Electronics,Laptops,Medium,Black,Cotton,Beta,Mid-range,4,true,8.56,Seniors
261,Home,Bath,Medium,Yellow,Leather,Alpha,Mid-range,2,true,14.28,Seniors
262,Home,Kitchen,Large,Purple,Leather,Delta,Budget,2,true,10.92,Children
263,Sports,Nutrition,Large,Purple,Wood,Delta,Budget,5,false,17.64,Teens
264,Home,Kitchen,Medium,Yellow,Glass,Beta,Luxury,1,true,0.78,Adults
265,Electronics,Laptops,Large,Yellow,Leather,Epsilon,Luxury,1,true,7.77,Children
266,Home,Kitchen,Large,Blue,Leather,Gamma,Premium,4,true,6.07,Seniors
267,Sports,Equipment,Small,White,Plastic,Delta,Mid-range,3,true,4.41,Teens
268,Food,Snacks,Medium,Blue,Cotton,Delta,Mid-range,3,true,8.03,Seniors
269,Sports,Apparel,Medium,Yellow,Leather,Epsilon,Mid-range,5,true,19.32,Teens
270,Clothing,Shoes,Large,White,Glass,Epsilon,Luxury,3,true,9.51,Adults
271,Home,Decor,Small,Yellow,Plastic,Gamma,Luxury,5,false,6.13,Seniors
272,Sports,Equipment,Large,Purple,Leather,Alpha,Mid-range,4,false,18.77,Teens
273,Home,Decor,Small,Green,Cotton,Gamma,Budget,1,true,3.73,Adults
274,Clothing,Shoes,Medium,Green,Plastic,Beta,Budget,2,false,15.70,Children
275,Food,Frozen,Medium,Black,Glass,Delta,Mid-range,3,true,1.59,Teens
276,Home,Decor,Large,Green,Wood,Beta,Premium,3,true,0.13,Children
277,Home,Decor,Small,Blue,Plastic,Epsilon,Luxury,1,false,12.19,Teens
278,Food,Snacks,Large,White,Glass,Delta,Premium,3,true,5.14,Teens
279,Sports,Accessories,Large,Yellow,Glass,Epsilon,Mid-range,4,false,2.89,Teens
280,Sports,Nutrition,Large,Green,Leather,Delta,Premium,1,true,7.14,Adults
281,Sports,Nutrition,Medium,Purple,Plastic,Epsilon,Premium,3,true,7.99,Teens
282,Clothing,Shirts,Large,Green,Wood,Alpha,Budget,4,true,12.31,Teens
283,Clothing,Pants,Large,Black,Glass,Alpha,Luxury,3,true,10.67,Teens
284,Home,Bath,Medium,Yellow,Plastic,Beta,Budget,2,true,0.73,Teens
285,Clothing,Dresses,Medium,Green,Leather,Delta,Mid-range,5,true,13.90,Seniors
286,Food,Fresh,Small,Black,Leather,Alpha,Budget,1,false,2.01,Adults
287,Home,Bath,Medium,Black,Wood,Epsilon,Mid-range,1,false,10.18,Adults
288,Electronics,Tablets,Large,Black,Wood,Delta,Premium,3,false,3.43,Adults
289,Home,Bath,Large,Black,Wood,Beta,Luxury,3,true,7.29,Seniors
290,Clothing,Shirts,Small,Green,Leather,Epsilon,Budget,3,true,18.70,Children
291,Home,Furniture,Large,White,Metal,Epsilon,Premium,4,true,11.66,Children
292,Electronics,Laptops,Large,Purple,Wood,Alpha,Budget,3,false,3.09,Adults
293,Clothing,Pants,Large,White,Plastic,Epsilon,Mid-range,1,true,2.62,Teens
294,Sports,Nutrition,Large,Black,Metal,Gamma,Budget,3,true,5.61,Teens
295,Home,Bath,Large,Yellow,Metal,Beta,Mid-range,4,true,15.63,Teens
296,Food,Frozen,Large,Black,Wood,Beta,Premium,3,false,2.88,Seniors
297,Sports,Nutrition,Large,White,Glass,Epsilon,Budget,4,true,8.77,Seniors
298,Clothing,Shirts,Small,Blue,Leather,Gamma,Budget,2,false,18.54,Seniors
299,Food,Beverages,Small,Yellow,Metal,Epsilon,Luxury,3,true,9.92,Teens
300,Clothing,Dresses,Medium,Black,Glass,Epsilon,Premium,3,true,8.04,Adults
301,Clothing,Shoes,Small,White,Wood,Delta,Premium,4,true,17.26,Adults
302,Home,Furniture,Medium,White,Glass,Delta,Mid-range,1,true,8.49,Seniors
303,Electronics,Accessories,Medium,Red,Plastic,Beta,Luxury,4,true,8.35,Children
304,Clothing,Pants,Medium,Yellow,Plastic,Delta,Luxury,5,true,0.71,Adults
305,Clothing,Pants,Medium,Red,Cotton,Alpha,Premium,1,false,12.82,Children
306,Home,Bath,Large,Black,Metal,Epsilon,Luxury,2,false,16.18,Teens
307,Food,Snacks,Large,Green,Metal,Delta,Budget,5,true,7.77,Seniors
308,Sports,Equipment,Small,Blue,Leather,Delta,Luxury,3,true,18.38,Children
309,Home,Decor,Large,Red,Cotton,Gamma,Mid-range,3,false,17.68,Adults
310,Electronics,Accessories,Medium,Purple,Leather,Alpha,Mid-range,2,false,15.53,Seniors
311,Clothing,Pants,Small,Blue,Wood,Gamma,Budget,4,false,19.33,Adults
312,Clothing,Shirts,Small,Green,Plastic,Gamma,Budget,5,true,8.96,Adults
313,Electronics,Tablets,Small,Yellow,Leather,Delta,Budget,5,true,4.57,Seniors
314,Clothing,Shoes,Small,Purple,Leather,Delta,Mid-range,5,true,0.42,Teens
315,Sports,Accessories,Medium,Purple,Glass,Beta,Premium,1,false,16.92,Teens
316,Home,Decor,Large,Black,Glass,Beta,Luxury,1,true,2.21,Teens
317,Electronics,Accessories,Small,White,Wood,Alpha,Budget,2,false,14.26,Adults
318,Sports,Apparel,Small,Yellow,Wood,Alpha,Luxury,2,false,3.83,Seniors
